year,month,day,monthday,link,city,state,Concert,Keep
2014,1,1,Jan 1,http://localhost:8000/2014/01/03/20140103-164331/IMG_3573.MOV,Washington,District of Columbia,Lunch Money Bandits,keep
2014,1,2,Jan 2,http://localhost:8000/2014/01/03/20140103-164331/IMG_3605.MOV,Washington,District of Columbia,,keep
2014,1,3,Jan 3,http://localhost:8000/2014/01/03/20140103-164331/IMG_3631.MOV,Washington,District of Columbia,,keep
2014,1,4,Jan 4,http://localhost:8000/2014/04/19/20140419-135255/IMG_3693.MOV,Washington,District of Columbia,,keep
2014,1,5,Jan 5,http://localhost:8000/2014/05/16/20140516-142608/IMG_3721.MOV,Washington,District of Columbia,,keep
2014,1,6,Jan 6,http://localhost:8000/2014/05/16/20140516-142608/IMG_3730.MOV,Washington,District of Columbia,,keep
2014,1,7,Jan 7,http://localhost:8000/2014/05/16/20140516-142608/IMG_3819.MOV,Washington,District of Columbia,,keep
2014,1,8,Jan 8,http://localhost:8000/2014/05/16/20140516-142608/IMG_3820.MOV,Washington,District of Columbia,,keep
2014,1,9,Jan 9,http://localhost:8000/2014/05/16/20140516-142608/IMG_3851.MOV,Washington,District of Columbia,,keep
2014,1,10,Jan 10,http://localhost:8000/2014/05/16/20140516-142608/IMG_3853.MOV,Washington,District of Columbia,,keep
2014,1,11,Jan 11,http://localhost:8000/2014/05/16/20140516-142608/IMG_4201.MOV,Washington,District of Columbia,,keep
2014,1,12,Jan 12,http://localhost:8000/2014/05/16/20140516-142608/IMG_4228.MOV,Washington,District of Columbia,,keep
2014,1,13,Jan 13,http://localhost:8000/2014/05/16/20140516-142608/IMG_4265.MOV,Washington,District of Columbia,,keep
2014,1,14,Jan 14,http://localhost:8000/2014/05/16/20140516-142608/IMG_4271.MOV,Washington,District of Columbia,,keep
2014,1,15,Jan 15,http://localhost:8000/2014/05/16/20140516-142608/IMG_4292.MOV,Washington,District of Columbia,,keep
2014,1,16,Jan 16,http://localhost:8000/2014/05/16/20140516-142608/IMG_4299.MOV,Washington,District of Columbia,,keep
2014,1,17,Jan 17,http://localhost:8000/2014/05/16/20140516-142608/IMG_4344.MOV,Annandale,Virginia,,keep
2014,1,18,Jan 18,http://localhost:8000/2014/05/16/20140516-142608/IMG_4390.MOV,Jersey Shore,Pennsylvania,,keep
2014,1,19,Jan 19,http://localhost:8000/2014/05/16/20140516-142608/IMG_4389.MOV,Jersey Shore,Pennsylvania,,keep
2014,1,20,Jan 20,http://localhost:8000/2014/05/16/20140516-142608/IMG_4435.MOV,Washington,District of Columbia,,keep
2014,1,21,Jan 21,http://localhost:8000/2014/05/16/20140516-142608/IMG_4448.MOV,Washington,District of Columbia,,keep
2014,1,22,Jan 22,http://localhost:8000/2014/05/16/20140516-142608/IMG_4452.MOV,Washington,District of Columbia,,keep
2014,1,23,Jan 23,http://localhost:8000/2014/05/16/20140516-142608/IMG_4477.MOV,Washington,District of Columbia,,keep
2014,1,24,Jan 24,http://localhost:8000/2014/05/16/20140516-142608/IMG_4470.MOV,Washington,District of Columbia,,keep
2014,1,25,Jan 25,http://localhost:8000/2014/05/16/20140516-142608/IMG_4521.MOV,Washington,District of Columbia,,keep
2014,1,26,Jan 26,http://localhost:8000/2014/04/19/20140419-135255/IMG_4584.MOV,Washington,District of Columbia,,keep
2014,1,27,Jan 27,http://localhost:8000/2014/05/16/20140516-142608/IMG_4594.MOV,Washington,District of Columbia,,keep
2014,1,28,Jan 28,http://localhost:8000/2014/05/16/20140516-142608/IMG_4473.MOV,Washington,District of Columbia,,keep
2014,1,29,Jan 29,http://localhost:8000/2014/05/16/20140516-142608/IMG_4618.MOV,Washington,District of Columbia,,keep
2014,1,30,Jan 30,http://localhost:8000/2014/05/16/20140516-142608/IMG_4627.MOV,Washington,District of Columbia,,keep
2014,1,31,Jan 31,http://localhost:8000/2014/05/16/20140516-142608/IMG_4641.MOV,Washington,District of Columbia,,keep
2014,2,1,Feb 1,http://localhost:8000/2014/05/16/20140516-142608/IMG_4661.MOV,Washington,District of Columbia,,keep
2014,2,2,Feb 2,http://localhost:8000/2014/05/16/20140516-142608/IMG_4721.MOV,Washington,District of Columbia,,keep
2014,2,3,Feb 3,http://localhost:8000/2014/05/16/20140516-142608/IMG_4760.MOV,Washington,District of Columbia,,keep
2014,2,4,Feb 4,http://localhost:8000/2014/05/16/20140516-142608/IMG_4675.MOV,Washington,District of Columbia,,keep
2014,2,5,Feb 5,http://localhost:8000/2014/05/16/20140516-142608/IMG_4772.MOV,Washington,District of Columbia,,keep
2014,2,6,Feb 6,http://localhost:8000/2014/05/16/20140516-142608/IMG_4778.MOV,Washington,District of Columbia,,keep
2014,2,7,Feb 7,http://localhost:8000/2014/05/16/20140516-142608/IMG_4832.MOV,Washington,District of Columbia,,keep
2014,2,8,Feb 8,http://localhost:8000/2014/05/16/20140516-142608/IMG_4813.MOV,Washington,District of Columbia,,keep
2014,2,9,Feb 9,http://localhost:8000/2014/05/16/20140516-142608/IMG_4868.MOV,Washington,District of Columbia,,keep
2014,2,10,Feb 10,http://localhost:8000/2014/05/16/20140516-142608/IMG_4871.MOV,Washington,District of Columbia,,keep
2014,2,11,Feb 11,http://localhost:8000/2014/05/16/20140516-142608/IMG_4904.MOV,Washington,District of Columbia,,keep
2014,2,12,Feb 12,http://localhost:8000/2014/05/16/20140516-142608/IMG_4907.MOV,Washington,District of Columbia,,keep
2014,2,13,Feb 13,http://localhost:8000/2014/04/19/20140419-135255/IMG_4916.MOV,Washington,District of Columbia,,keep
2014,2,14,Feb 14,http://localhost:8000/2014/05/16/20140516-142608/IMG_4952.MOV,Windham Mountain,New York,,keep
2014,2,15,Feb 15,http://localhost:8000/2014/05/16/20140516-142608/IMG_4985.MOV,Windham Mountain,New York,,keep
2014,2,16,Feb 16,http://localhost:8000/2014/05/16/20140516-142608/IMG_4995.MOV,Windham Mountain,New York,,keep
2014,2,17,Feb 17,http://localhost:8000/2014/05/16/20140516-142608/IMG_5007.MOV,Windham Mountain,New York,,keep
2014,2,18,Feb 18,http://localhost:8000/2014/05/16/20140516-142608/IMG_4985.MOV,Windham Mountain,New York,,keep
2014,2,19,Feb 19,http://localhost:8000/2014/05/16/20140516-142608/IMG_5068.MOV,Washington,District of Columbia,Black Joe Lewis and the Honey Bears,keep
2014,2,20,Feb 20,http://localhost:8000/2014/05/16/20140516-142608/IMG_5079.MOV,Washington,District of Columbia,,keep
2014,2,21,Feb 21,http://localhost:8000/2014/05/16/20140516-142608/IMG_5156.MOV,Annandale,Virginia,,keep
2014,2,22,Feb 22,http://localhost:8000/2014/05/16/20140516-142608/IMG_5174.MOV,Washington,District of Columbia,,keep
2014,2,23,Feb 23,http://localhost:8000/2014/05/16/20140516-142608/IMG_5125.MOV,Annandale,Virginia,,keep
2014,2,24,Feb 24,http://localhost:8000/2014/05/16/20140516-142608/IMG_5187.MOV,Washington,District of Columbia,,keep
2014,2,25,Feb 25,http://localhost:8000/2014/05/16/20140516-142608/IMG_5186.MOV,Washington,District of Columbia,,keep
2014,2,26,Feb 26,http://localhost:8000/2014/05/16/20140516-142608/IMG_4914.MOV,Washington,District of Columbia,,keep
2014,2,27,Feb 27,http://localhost:8000/2014/05/16/20140516-142608/IMG_5227.MOV,Washington,District of Columbia,,keep
2014,2,28,Feb 28,http://localhost:8000/2014/05/16/20140516-142608/IMG_5252.MOV,Washington,District of Columbia,,keep
2014,3,1,Mar 1,http://localhost:8000/2014/05/16/20140516-142608/IMG_5279.MOV,Washington,District of Columbia,,keep
2014,3,2,Mar 2,http://localhost:8000/2014/05/16/20140516-142608/IMG_5309.MOV,Philadelphia,Pennsylvania,,keep
2014,3,3,Mar 3,http://localhost:8000/2014/05/16/20140516-142608/IMG_5380.MOV,Washington,District of Columbia,,keep
2014,3,4,Mar 4,http://localhost:8000/2014/05/16/20140516-142608/IMG_5401.MOV,Washington,District of Columbia,,keep
2014,3,5,Mar 5,http://localhost:8000/2014/05/16/20140516-142608/IMG_5430.MOV,Washington,District of Columbia,,keep
2014,3,6,Mar 6,http://localhost:8000/2014/04/19/20140419-135255/IMG_5465.MOV,Washington,District of Columbia,,keep
2014,3,7,Mar 7,http://localhost:8000/2014/05/16/20140516-142608/IMG_5523.MOV,Cambridge,Massachusetts,,keep
2014,3,8,Mar 8,http://localhost:8000/2014/05/16/20140516-142608/IMG_5543.MOV,Foxboro,Massachusetts,,keep
2014,3,9,Mar 9,http://localhost:8000/2014/05/16/20140516-142608/IMG_5546.MOV,Foxboro,Massachusetts,,keep
2014,3,10,Mar 10,http://localhost:8000/2014/05/16/20140516-142608/IMG_5578.MOV,Washington,District of Columbia,,keep
2014,3,11,Mar 11,http://localhost:8000/2014/05/16/20140516-142608/IMG_5566.MOV,Washington,District of Columbia,,keep
2014,3,12,Mar 12,http://localhost:8000/2014/05/16/20140516-142608/IMG_5581.MOV,Washington,District of Columbia,,keep
2014,3,13,Mar 13,http://localhost:8000/2014/05/16/20140516-142608/IMG_5602.MOV,Washington,District of Columbia,,keep
2014,3,14,Mar 14,http://localhost:8000/2014/05/16/20140516-142608/IMG_5627.MOV,Washington,District of Columbia,,keep
2014,3,15,Mar 15,http://localhost:8000/2014/04/19/20140419-135255/IMG_5744.MOV,Nashville,Tennessee,,keep
2014,3,16,Mar 16,http://localhost:8000/2014/05/16/20140516-142608/IMG_5810.MOV,Washington,District of Columbia,,keep
2014,3,17,Mar 17,http://localhost:8000/2014/05/16/20140516-142608/IMG_5812.MOV,Washington,District of Columbia,,keep
2014,3,18,Mar 18,http://localhost:8000/2014/05/16/20140516-142608/IMG_5838.MOV,Washington,District of Columbia,,keep
