year,month,day,monthday,link,city,state,Concert,Keep
2014,04,01,Apr 1,http://localhost:8000/2014/05/16/20140516-142608/IMG_6294.MOV,Washington,District of Columbia,,keep
2014,04,02,Apr 2,http://localhost:8000/2014/05/16/20140516-142608/IMG_6276.MOV,Washington,District of Columbia,,keep
2014,04,03,Apr 3,http://localhost:8000/2014/05/16/20140516-142608/IMG_6305.MOV,Washington,District of Columbia,,keep
2014,04,04,Apr 4,http://localhost:8000/2014/05/16/20140516-142608/IMG_6301.mov,Washington,District of Columbia,,
2014,04,04,Apr 4,http://localhost:8000/2014/05/16/20140516-142608/IMG_6302.mov,Washington,District of Columbia,,
2014,04,04,Apr 4,http://localhost:8000/2014/05/16/20140516-142608/IMG_6294.MOV,Washington,District of Columbia,,
2014,04,04,Apr 4,http://localhost:8000/2014/05/16/20140516-142608/IMG_6311.MOV,Washington,District of Columbia,,
2014,04,04,Apr 4,http://localhost:8000/2014/05/16/20140516-142608/IMG_6305.MOV,Washington,District of Columbia,,
2014,04,04,Apr 4,http://localhost:8000/2014/05/16/20140516-142608/IMG_6312.MOV,Washington,District of Columbia,,keep
2014,04,05,Apr 5,http://localhost:8000/2014/04/19/20140419-135255/IMG_6330.MOV,Annandale,Virginia,,keep
2014,04,05,Apr 5,http://localhost:8000/2014/04/19/20140419-135255/IMG_6329.MOV,Annandale,Virginia,,
2014,04,05,Apr 5,http://localhost:8000/2014/05/16/20140516-142608/IMG_6351.mov,Washington,District of Columbia,,
2014,04,05,Apr 5,http://localhost:8000/2014/05/16/20140516-142608/IMG_6352.mov,Washington,District of Columbia,,
2014,04,05,Apr 5,http://localhost:8000/2014/05/16/20140516-142608/IMG_6313.MOV,Washington,District of Columbia,,
2014,04,05,Apr 5,http://localhost:8000/2014/05/16/20140516-142608/IMG_6322.MOV,Washington,District of Columbia,,
2014,04,06,Apr 6,http://localhost:8000/2014/05/16/20140516-142608/IMG_6353.mov,Washington,District of Columbia,,
2014,04,06,Apr 6,http://localhost:8000/2014/05/16/20140516-142608/IMG_6354.mov,Washington,District of Columbia,,
2014,04,06,Apr 6,http://localhost:8000/2014/05/16/20140516-142608/IMG_6377.MOV,Washington,District of Columbia,,keep
2014,04,07,Apr 7,http://localhost:8000/2014/05/16/20140516-142608/IMG_6395.MOV,Washington,District of Columbia,,keep
2014,04,08,Apr 8,http://localhost:8000/2014/05/16/20140516-142608/IMG_6416.MOV,Washington,District of Columbia,,keep
2014,04,09,Apr 9,http://localhost:8000/2014/05/16/20140516-142608/IMG_6322.MOV,Washington,District of Columbia,,keep
2014,04,10,Apr 10,http://localhost:8000/2014/05/16/20140516-142608/IMG_6460.MOV,Washington,District of Columbia,,keep
2014,04,10,Apr 10,http://localhost:8000/2014/05/16/20140516-142608/IMG_6439.MOV,Washington,District of Columbia,,
2014,04,11,Apr 11,http://localhost:8000/2014/05/16/20140516-142608/IMG_6493.MOV,Palm Spring,California,Coachella,keep
2014,04,11,Apr 11,http://localhost:8000/2014/05/16/20140516-142608/IMG_6525.MOV,Palm Spring,California,Coachella,
2014,04,11,Apr 11,http://localhost:8000/2014/05/16/20140516-142608/IMG_6509.MOV,Palm Spring,California,Coachella,
2014,04,11,Apr 11,http://localhost:8000/2014/05/16/20140516-142608/IMG_6523.MOV,Palm Spring,California,Coachella,
2014,04,11,Apr 11,http://localhost:8000/2014/05/16/20140516-142608/IMG_6524.MOV,Palm Spring,California,Coachella,
2014,04,12,Apr 12,http://localhost:8000/2014/04/19/20140419-135255/IMG_6541.MOV,Palm Spring,California,Coachella,
2014,04,12,Apr 12,http://localhost:8000/2014/04/19/20140419-135255/IMG_6531.MOV,Palm Spring,California,Coachella,
2014,04,12,Apr 12,http://localhost:8000/2014/04/19/20140419-135255/IMG_6542.MOV,Palm Spring,California,Coachella,
2014,04,12,Apr 12,http://localhost:8000/2014/04/19/20140419-135255/IMG_6544.MOV,Palm Spring,California,Coachella,
2014,04,12,Apr 12,http://localhost:8000/2014/04/19/20140419-135255/IMG_6545.MOV,Palm Spring,California,Coachella,
2014,04,12,Apr 12,http://localhost:8000/2014/04/19/20140419-135255/IMG_6543.MOV,Palm Spring,California,Coachella,
2014,04,12,Apr 12,http://localhost:8000/2014/04/19/20140419-135255/IMG_6606.MOV,Palm Spring,California,Coachella,
2014,04,12,Apr 12,http://localhost:8000/2014/05/16/20140516-142608/IMG_6527.MOV,Palm Spring,California,Coachella,
2014,04,12,Apr 12,http://localhost:8000/2014/05/16/20140516-142608/IMG_6539.MOV,Palm Spring,California,Coachella,
2014,04,12,Apr 12,http://localhost:8000/2014/05/16/20140516-142608/IMG_6528.MOV,Palm Spring,California,Coachella,
2014,04,12,Apr 12,http://localhost:8000/2014/05/16/20140516-142608/IMG_6555.mov,Palm Spring,California,Coachella,
2014,04,12,Apr 12,http://localhost:8000/2014/05/16/20140516-142608/IMG_6551.MOV,Palm Spring,California,Coachella,
2014,04,12,Apr 12,http://localhost:8000/2014/05/16/20140516-142608/IMG_6540.MOV,Palm Spring,California,Coachella,
2014,04,12,Apr 12,http://localhost:8000/2014/05/16/20140516-142608/IMG_6546.MOV,Palm Spring,California,Coachella,
