year,month,day,monthday,link,city,state,Concert,Keep
2014,08,01,Aug 1,http://localhost:8000/2014/09/19/20140919-101128/IMG_1013.MOV,Chicago,Illinois,,keep
2014,08,01,Aug 1,http://localhost:8000/2014/09/19/20140919-101128/IMG_1014.MOV,Chicago,Illinois,,
2014,08,01,Aug 1,http://localhost:8000/2014/09/19/20140919-101128/IMG_1015.MOV,Chicago,Illinois,,
2014,08,02,Aug 2,http://localhost:8000/2014/09/19/20140919-101128/IMG_1059.MOV,Chicago,Illinois,,
2014,08,02,Aug 2,http://localhost:8000/2014/09/19/20140919-101128/IMG_1073.mov,Chicago,Illinois,,
2014,08,02,Aug 2,http://localhost:8000/2014/09/19/20140919-101128/IMG_1020.MOV,Chicago,Illinois,,
2014,08,02,Aug 2,http://localhost:8000/2014/09/19/20140919-101128/IMG_1017.MOV,Chicago,Illinois,,
2014,08,02,Aug 2,http://localhost:8000/2014/09/19/20140919-101128/IMG_1019.MOV,Chicago,Illinois,,
2014,08,02,Aug 2,http://localhost:8000/2014/09/19/20140919-101128/IMG_1090.MOV,Chicago,Illinois,,
2014,08,02,Aug 2,http://localhost:8000/2014/09/19/20140919-101128/IMG_1111.mov,Chicago,Illinois,,
2014,08,02,Aug 2,http://localhost:8000/2014/09/19/20140919-101128/IMG_1071.MOV,Chicago,Illinois,,
2014,08,02,Aug 2,http://localhost:8000/2014/09/19/20140919-101128/IMG_1101.MOV,Chicago,Illinois,,
2014,08,02,Aug 2,http://localhost:8000/2014/09/19/20140919-101128/IMG_1072.MOV,Chicago,Illinois,,
2014,08,02,Aug 2,http://localhost:8000/2014/09/19/20140919-101128/IMG_1110.MOV,Chicago,Illinois,,keep
2014,08,02,Aug 2,http://localhost:8000/2014/09/19/20140919-101128/IMG_1100.MOV,Chicago,Illinois,,
2014,08,02,Aug 2,http://localhost:8000/2014/09/19/20140919-101128/IMG_1102.MOV,Chicago,Illinois,,
2014,08,02,Aug 2,http://localhost:8000/2014/09/19/20140919-101128/IMG_1118.MOV,Chicago,Illinois,,
2014,08,02,Aug 2,http://localhost:8000/2014/09/19/20140919-101128/IMG_1112.MOV,Chicago,Illinois,,
2014,08,03,Aug 3,http://localhost:8000/2014/09/19/20140919-101128/IMG_1118.MOV,Chicago,Illinois,,keep
2014,08,03,Aug 3,http://localhost:8000/2014/09/19/20140919-101128/IMG_1132.MOV,Chicago,Illinois,,
2014,08,03,Aug 3,http://localhost:8000/2014/09/19/20140919-101128/IMG_1135.MOV,Chicago,Illinois,,
2014,08,03,Aug 3,http://localhost:8000/2014/09/19/20140919-101128/IMG_1133.MOV,Chicago,Illinois,,
2014,08,03,Aug 3,http://localhost:8000/2014/09/19/20140919-101128/IMG_1150.MOV,Chicago,Illinois,,
2014,08,03,Aug 3,http://localhost:8000/2014/09/19/20140919-101128/IMG_1161.mov,Chicago,Illinois,,
2014,08,03,Aug 3,http://localhost:8000/2014/09/19/20140919-101128/IMG_1143.MOV,Chicago,Illinois,,
2014,08,03,Aug 3,http://localhost:8000/2014/09/19/20140919-101128/IMG_1151.mov,Chicago,Illinois,,
2014,08,03,Aug 3,http://localhost:8000/2014/09/19/20140919-101128/IMG_1167.MOV,Chicago,Illinois,,
2014,08,03,Aug 3,http://localhost:8000/2014/09/19/20140919-101128/IMG_1170.MOV,Chicago,Illinois,,
2014,08,03,Aug 3,http://localhost:8000/2014/09/19/20140919-101128/IMG_1134.MOV,Chicago,Illinois,,
2014,08,03,Aug 3,http://localhost:8000/2014/09/19/20140919-101128/IMG_1159.MOV,Chicago,Illinois,,
2014,08,03,Aug 3,http://localhost:8000/2014/09/19/20140919-101128/IMG_1124.MOV,Chicago,Illinois,,
2014,08,03,Aug 3,http://localhost:8000/2014/09/19/20140919-101128/IMG_1269.MOV,Chicago,Illinois,,
2014,08,03,Aug 3,http://localhost:8000/2014/09/19/20140919-101128/IMG_1251.MOV,Chicago,Illinois,,
2014,08,03,Aug 3,http://localhost:8000/2014/09/19/20140919-101128/IMG_1195.MOV,Chicago,Illinois,,
2014,08,03,Aug 3,http://localhost:8000/2014/09/19/20140919-101128/IMG_1160.MOV,Chicago,Illinois,,
2014,08,03,Aug 3,http://localhost:8000/2014/09/19/20140919-101128/IMG_1172.MOV,Chicago,Illinois,,
2014,08,03,Aug 3,http://localhost:8000/2014/09/19/20140919-101128/IMG_1171.MOV,Chicago,Illinois,,
2014,08,04,Aug 4,http://localhost:8000/2014/09/19/20140919-101128/IMG_1272.MOV,Chicago,Illinois,,keep
2014,08,04,Aug 4,http://localhost:8000/2014/09/19/20140919-101128/IMG_1282.MOV,Chicago,Illinois,,
2014,08,04,Aug 4,http://localhost:8000/2014/09/19/20140919-101128/IMG_1289.MOV,Chicago,Illinois,,
2014,08,04,Aug 4,http://localhost:8000/2014/09/19/20140919-101128/IMG_1293.MOV,Chicago,Illinois,,
2014,08,04,Aug 4,http://localhost:8000/2014/09/19/20140919-101128/IMG_1294.MOV,Chicago,Illinois,,
2014,08,04,Aug 4,http://localhost:8000/2014/09/19/20140919-101128/IMG_1284.MOV,Chicago,Illinois,,
2014,08,04,Aug 4,http://localhost:8000/2014/09/19/20140919-101128/IMG_1296.MOV,Chicago,Illinois,,
2014,08,04,Aug 4,http://localhost:8000/2014/09/19/20140919-101128/IMG_1318.MOV,Chicago,Illinois,,
2014,08,04,Aug 4,http://localhost:8000/2014/09/19/20140919-101128/IMG_1321.MOV,Chicago,Illinois,,
2014,08,04,Aug 4,http://localhost:8000/2014/09/19/20140919-101128/IMG_1320.MOV,Chicago,Illinois,,
2014,08,04,Aug 4,http://localhost:8000/2014/09/19/20140919-101128/IMG_1350.MOV,Chicago,Illinois,,
2014,08,04,Aug 4,http://localhost:8000/2014/09/19/20140919-101128/IMG_1283.MOV,Chicago,Illinois,,
2014,08,04,Aug 4,http://localhost:8000/2014/09/19/20140919-101128/IMG_1363.mov,Chicago,Illinois,,
2014,08,04,Aug 4,http://localhost:8000/2014/09/19/20140919-101128/IMG_1362.mov,Chicago,Illinois,,
2014,08,04,Aug 4,http://localhost:8000/2014/09/19/20140919-101128/IMG_1365.MOV,Chicago,Illinois,,
2014,08,04,Aug 4,http://localhost:8000/2014/09/19/20140919-101128/IMG_1351.MOV,Chicago,Illinois,,
2014,08,04,Aug 4,http://localhost:8000/2014/09/19/20140919-101128/IMG_1367.mov,Chicago,Illinois,,
2014,08,04,Aug 4,http://localhost:8000/2014/09/19/20140919-101128/IMG_1374.mov,Chicago,Illinois,,
2014,08,04,Aug 4,http://localhost:8000/2014/09/19/20140919-101128/IMG_1319.MOV,Chicago,Illinois,,
2014,08,04,Aug 4,http://localhost:8000/2014/09/19/20140919-101128/IMG_1295.MOV,Chicago,Illinois,,
2014,08,04,Aug 4,http://localhost:8000/2014/09/19/20140919-101128/IMG_1379.mov,Chicago,Illinois,,
2014,08,04,Aug 4,http://localhost:8000/2014/09/19/20140919-101128/IMG_1395.mov,Chicago,Illinois,,
2014,08,05,Aug 5,http://localhost:8000/2014/09/19/20140919-101128/IMG_1405.MOV,Annandale,Virginia,,keep
2014,08,05,Aug 5,http://localhost:8000/2014/09/19/20140919-101128/IMG_1407.MOV,Annandale,Virginia,,
2014,08,06,Aug 6,http://localhost:8000/2014/09/19/20140919-101128/IMG_1429.mov,Annandale,Virginia,,
2014,08,06,Aug 6,http://localhost:8000/2014/09/19/20140919-101128/IMG_1442.MOV,Annandale,Virginia,,keep
2014,08,07,Aug 7,http://localhost:8000/2014/09/19/20140919-101128/IMG_1451.MOV,Annandale,Virginia,,
2014,08,07,Aug 7,http://localhost:8000/2014/09/19/20140919-101128/IMG_1446.MOV,Annandale,Virginia,,keep
2014,08,08,Aug 8,http://localhost:8000/2014/09/19/20140919-101128/IMG_1451.MOV,Annandale,Virginia,,keep
2014,08,09,Aug 9,http://localhost:8000/2014/09/19/20140919-101128/IMG_1469.MOV,Washington,District of Columbia,,keep
2014,08,09,Aug 9,http://localhost:8000/2014/09/19/20140919-101128/IMG_1467.MOV,Washington,District of Columbia,,
2014,08,10,Aug 10,http://localhost:8000/2014/09/19/20140919-101128/IMG_1498.MOV,Washington,District of Columbia,,
2014,08,10,Aug 10,http://localhost:8000/2014/09/19/20140919-101128/IMG_1497.MOV,Washington,District of Columbia,,
2014,08,10,Aug 10,http://localhost:8000/2014/09/19/20140919-101128/IMG_1499.MOV,Washington,District of Columbia,,keep
2014,08,11,Aug 11,http://localhost:8000/2014/09/19/20140919-101128/IMG_1562.mov,Washington,District of Columbia,,keep
2014,08,12,Aug 12,http://localhost:8000/2014/09/19/20140919-101128/IMG_1519.MOV,Washington,District of Columbia,,keep
2014,08,13,Aug 13,http://localhost:8000/2014/09/19/20140919-101128/IMG_1527.MOV,Washington,District of Columbia,,keep
2014,08,14,Aug 14,http://localhost:8000/2014/09/19/20140919-101128/IMG_1539.MOV,Washington,District of Columbia,,
