year,month,day,monthday,link,city,state,Concert,Keep
2014,12,01,Dec 1,http://localhost:8000/2014/12/02/20141202-150500/IMG_4600.MOV,Washington,District of Columbia,,keep
2014,12,01,Dec 2,http://localhost:8000/2015/01/01/20150101-181545/IMG_4627.mov,Washington,District of Columbia,,
2014,12,02,Dec 2,http://localhost:8000/2015/01/01/20150101-181545/IMG_4623.MOV,Washington,District of Columbia,,
2014,12,02,Dec 2,http://localhost:8000/2014/12/02/20141202-150500/IMG_4613.MOV,Washington,District of Columbia,,
2014,12,02,Dec 2,http://localhost:8000/2014/12/02/20141202-150500/IMG_4614.MOV,Washington,District of Columbia,,keep
2014,12,02,Dec 2,http://localhost:8000/2014/12/02/20141202-150500/IMG_4618.MOV,Washington,District of Columbia,,
2014,12,03,Dec 3,http://localhost:8000/2015/01/01/20150101-181545/IMG_4625.MOV,Washington,District of Columbia,,
2014,12,03,Dec 3,http://localhost:8000/2015/01/01/20150101-181545/IMG_4626.MOV,Washington,District of Columbia,,keep
2014,12,04,Dec 4,http://localhost:8000/2015/01/01/20150101-181545/IMG_4632.MOV,Washington,District of Columbia,,keep
2014,12,04,Dec 4,http://localhost:8000/2015/01/01/20150101-181545/IMG_4633.MOV,Washington,District of Columbia,,
2014,12,05,Dec 5,http://localhost:8000/2015/01/01/20150101-181545/IMG_4635.MOV,Washington,District of Columbia,,
2014,12,05,Dec 5,http://localhost:8000/2015/01/01/20150101-181545/IMG_4638.MOV,Washington,District of Columbia,,keep
2014,12,05,Dec 5,http://localhost:8000/2015/01/01/20150101-181545/IMG_4637.MOV,Washington,District of Columbia,,
2014,12,06,Dec 6,http://localhost:8000/2015/01/01/20150101-181545/IMG_4663.MOV,Washington,District of Columbia,,
2014,12,06,Dec 6,http://localhost:8000/2015/01/01/20150101-181545/IMG_4652.MOV,Washington,District of Columbia,,
2014,12,06,Dec 6,http://localhost:8000/2015/01/01/20150101-181545/IMG_4702.MOV,Washington,District of Columbia,,
2014,12,06,Dec 6,http://localhost:8000/2015/01/01/20150101-181545/IMG_4681.MOV,Washington,District of Columbia,,
2014,12,06,Dec 6,http://localhost:8000/2015/01/01/20150101-181545/IMG_4707.MOV,Washington,District of Columbia,,
2014,12,06,Dec 6,http://localhost:8000/2015/01/01/20150101-181545/IMG_4704.MOV,Washington,District of Columbia,,
2014,12,06,Dec 6,http://localhost:8000/2015/01/01/20150101-181545/IMG_4719.MOV,Washington,District of Columbia,,
2014,12,06,Dec 6,http://localhost:8000/2015/01/01/20150101-181545/IMG_4745.MOV,Washington,District of Columbia,,
2014,12,06,Dec 6,http://localhost:8000/2015/01/01/20150101-181545/IMG_4708.MOV,Washington,District of Columbia,Har Mar Superstar & Pizza Underground,keep
2014,12,06,Dec 6,http://localhost:8000/2015/01/01/20150101-181545/IMG_4709.MOV,Washington,District of Columbia,,
2014,12,06,Dec 6,http://localhost:8000/2015/01/01/20150101-181545/IMG_4701.MOV,Washington,District of Columbia,,
2014,12,06,Dec 6,http://localhost:8000/2015/01/01/20150101-181545/IMG_4703.MOV,Washington,District of Columbia,,
2014,12,07,Dec 7,http://localhost:8000/2015/01/01/20150101-181545/IMG_4758.MOV,Washington,District of Columbia,,keep
2014,12,08,Dec 8,http://localhost:8000/2015/01/01/20150101-181545/IMG_4777.MOV,Washington,District of Columbia,,
2014,12,08,Dec 8,http://localhost:8000/2015/01/01/20150101-181545/IMG_4778.MOV,Washington,District of Columbia,,keep
2014,12,09,Dec 9,http://localhost:8000/2015/01/01/20150101-181545/IMG_4790.MOV,Washington,District of Columbia,,
2014,12,09,Dec 9,http://localhost:8000/2015/01/01/20150101-181545/IMG_4793.MOV,Washington,District of Columbia,,keep
2014,12,10,Dec 10,http://localhost:8000/2015/01/01/20150101-181545/IMG_4811.MOV,Washington,District of Columbia,,keep
2014,12,10,Dec 10,http://localhost:8000/2015/01/01/20150101-181545/IMG_4812.MOV,Washington,District of Columbia,,
2014,12,11,Dec 11,http://localhost:8000/2015/01/01/20150101-181545/IMG_4818.MOV,Washington,District of Columbia,,
2014,12,11,Dec 11,http://localhost:8000/2015/01/01/20150101-181545/IMG_4819.MOV,Washington,District of Columbia,,
2014,12,11,Dec 11,http://localhost:8000/2015/01/01/20150101-181545/IMG_4824.MOV,Washington,District of Columbia,,
2014,12,11,Dec 11,http://localhost:8000/2015/01/01/20150101-181545/IMG_4823.MOV,Washington,District of Columbia,,
2014,12,11,Dec 11,http://localhost:8000/2015/01/01/20150101-181545/IMG_4827.MOV,Washington,District of Columbia,,
2014,12,11,Dec 11,http://localhost:8000/2015/01/01/20150101-181545/IMG_4826.MOV,Washington,District of Columbia,,keep
2014,12,11,Dec 11,http://localhost:8000/2015/01/01/20150101-181545/IMG_4851.MOV,Washington,District of Columbia,,
