year,month,day,monthday,link,city,state,Concert,Keep
2014,02,01,Feb 1,http://localhost:8000/2014/04/19/20140419-135255/IMG_4683.MOV,Washington,District of Columbia,,
2014,02,01,Feb 1,http://localhost:8000/2014/05/16/20140516-142608/IMG_4661.mov,Washington,District of Columbia,,keep
2014,02,01,Feb 1,http://localhost:8000/2014/05/16/20140516-142608/IMG_4657.MOV,Landover,Maryland,,
2014,02,01,Feb 1,http://localhost:8000/2014/05/16/20140516-142608/IMG_4659.MOV,Landover,Maryland,,
2014,02,01,Feb 1,http://localhost:8000/2014/05/16/20140516-142608/IMG_4658.MOV,Landover,Maryland,,
2014,02,01,Feb 1,http://localhost:8000/2014/05/16/20140516-142608/IMG_4660.MOV,Landover,Maryland,,
2014,02,01,Feb 1,http://localhost:8000/2014/05/16/20140516-142608/IMG_4675.MOV,Washington,District of Columbia,,
2014,02,02,Feb 2,http://localhost:8000/2014/04/19/20140419-135255/IMG_4709.MOV,Washington,District of Columbia,,
2014,02,02,Feb 2,http://localhost:8000/2014/05/16/20140516-142608/IMG_4696.mov,Washington,District of Columbia,,
2014,02,02,Feb 2,http://localhost:8000/2014/05/16/20140516-142608/IMG_4697.mov,Washington,District of Columbia,,
2014,02,02,Feb 2,http://localhost:8000/2014/05/16/20140516-142608/IMG_4699.mov,Washington,District of Columbia,,
2014,02,02,Feb 2,http://localhost:8000/2014/05/16/20140516-142608/IMG_4698.mov,Washington,District of Columbia,,
2014,02,02,Feb 2,http://localhost:8000/2014/05/16/20140516-142608/IMG_4720.MOV,Washington,District of Columbia,,
2014,02,02,Feb 2,http://localhost:8000/2014/05/16/20140516-142608/IMG_4747.MOV,Washington,District of Columbia,,
2014,02,02,Feb 2,http://localhost:8000/2014/05/16/20140516-142608/IMG_4721.MOV,Washington,District of Columbia,,keep
2014,02,03,Feb 3,http://localhost:8000/2014/05/16/20140516-142608/IMG_4760.MOV,Washington,District of Columbia,,keep
2014,02,04,Feb 4,http://localhost:8000/2014/05/16/20140516-142608/IMG_4675.MOV,Washington,District of Columbia,,keep
2014,02,05,Feb 5,http://localhost:8000/2014/05/16/20140516-142608/IMG_4771.MOV,Washington,District of Columbia,,
2014,02,05,Feb 5,http://localhost:8000/2014/05/16/20140516-142608/IMG_4772.MOV,Washington,District of Columbia,,keep
2014,02,05,Feb 5,http://localhost:8000/2014/05/16/20140516-142608/IMG_4769.MOV,Washington,District of Columbia,,
2014,02,05,Feb 5,http://localhost:8000/2014/05/16/20140516-142608/IMG_4773.MOV,Washington,District of Columbia,,
2014,02,05,Feb 5,http://localhost:8000/2014/05/16/20140516-142608/IMG_4768.MOV,Washington,District of Columbia,,
2014,02,05,Feb 5,http://localhost:8000/2014/05/16/20140516-142608/IMG_4778.MOV,Washington,District of Columbia,,
2014,02,06,Feb 6,http://localhost:8000/2014/05/16/20140516-142608/IMG_4778.MOV,Washington,District of Columbia,,keep
2014,02,07,Feb 7,http://localhost:8000/2014/05/16/20140516-142608/IMG_4787.MOV,Washington,District of Columbia,,
2014,02,07,Feb 7,http://localhost:8000/2014/05/16/20140516-142608/IMG_4832.mov,Washington,District of Columbia,,keep
2014,02,08,Feb 8,http://localhost:8000/2014/04/19/20140419-135255/IMG_4807.MOV,Washington,District of Columbia,,
2014,02,08,Feb 8,http://localhost:8000/2014/05/16/20140516-142608/IMG_4813.MOV,Washington,District of Columbia,,keep
2014,02,08,Feb 8,http://localhost:8000/2014/05/16/20140516-142608/IMG_4815.MOV,Washington,District of Columbia,,
2014,02,08,Feb 8,http://localhost:8000/2014/05/16/20140516-142608/IMG_4816.mov,Washington,District of Columbia,,
2014,02,08,Feb 8,http://localhost:8000/2014/05/16/20140516-142608/IMG_4810.MOV,Washington,District of Columbia,,
2014,02,08,Feb 8,http://localhost:8000/2014/05/16/20140516-142608/IMG_4829.mov,Washington,District of Columbia,,
2014,02,08,Feb 8,http://localhost:8000/2014/05/16/20140516-142608/IMG_4828.mov,Washington,District of Columbia,,
2014,02,08,Feb 8,http://localhost:8000/2014/05/16/20140516-142608/IMG_4831.mov,Washington,District of Columbia,,
2014,02,08,Feb 8,http://localhost:8000/2014/05/16/20140516-142608/IMG_4832.mov,Washington,District of Columbia,,
2014,02,08,Feb 8,http://localhost:8000/2014/05/16/20140516-142608/IMG_4827.MOV,Washington,District of Columbia,,
2014,02,08,Feb 8,http://localhost:8000/2014/05/16/20140516-142608/IMG_4834.MOV,Washington,District of Columbia,,
2014,02,08,Feb 8,http://localhost:8000/2014/05/16/20140516-142608/IMG_4798.MOV,Washington,District of Columbia,,
2014,02,08,Feb 8,http://localhost:8000/2014/05/16/20140516-142608/IMG_4835.mov,Washington,District of Columbia,,
2014,02,08,Feb 8,http://localhost:8000/2014/05/16/20140516-142608/IMG_4844.MOV,Washington,District of Columbia,,
2014,02,09,Feb 9,http://localhost:8000/2014/05/16/20140516-142608/IMG_4846.MOV,Bladensburg,Maryland,,
2014,02,09,Feb 9,http://localhost:8000/2014/05/16/20140516-142608/IMG_4868.MOV,Washington,District of Columbia,,keep
2014,02,10,Feb 10,http://localhost:8000/2014/04/19/20140419-135255/IMG_4869.MOV,Washington,District of Columbia,,
2014,02,10,Feb 10,http://localhost:8000/2014/05/16/20140516-142608/IMG_4868.MOV,Washington,District of Columbia,,
2014,02,10,Feb 10,http://localhost:8000/2014/05/16/20140516-142608/IMG_4892.MOV,Washington,District of Columbia,,
2014,02,10,Feb 10,http://localhost:8000/2014/05/16/20140516-142608/IMG_4871.MOV,Washington,District of Columbia,,keep
2014,02,11,Feb 11,http://localhost:8000/2014/05/16/20140516-142608/IMG_4894.MOV,Washington,District of Columbia,,
2014,02,11,Feb 11,http://localhost:8000/2014/05/16/20140516-142608/IMG_4904.MOV,Washington,District of Columbia,,keep
2014,02,11,Feb 11,http://localhost:8000/2014/05/16/20140516-142608/IMG_4903.MOV,Washington,District of Columbia,,
2014,02,12,Feb 12,http://localhost:8000/2014/05/16/20140516-142608/IMG_4907.MOV,Washington,District of Columbia,,keep
2014,02,13,Feb 13,http://localhost:8000/2014/04/19/20140419-135255/IMG_4934.MOV,Washington,District of Columbia,,
2014,02,13,Feb 13,http://localhost:8000/2014/04/19/20140419-135255/IMG_4916.MOV,Washington,District of Columbia,,keep
2014,02,13,Feb 13,http://localhost:8000/2014/04/19/20140419-135255/IMG_4915.MOV,Washington,District of Columbia,,
2014,02,13,Feb 13,http://localhost:8000/2014/04/19/20140419-135255/IMG_4943.MOV,Washington,District of Columbia,,
2014,02,13,Feb 13,http://localhost:8000/2014/04/19/20140419-135255/IMG_4932.MOV,Washington,District of Columbia,,
2014,02,13,Feb 13,http://localhost:8000/2014/05/16/20140516-142608/IMG_4924.mov,Washington,District of Columbia,,
2014,02,13,Feb 13,http://localhost:8000/2014/05/16/20140516-142608/IMG_4914.MOV,Washington,District of Columbia,,
2014,02,13,Feb 13,http://localhost:8000/2014/05/16/20140516-142608/IMG_4926.mov,Washington,District of Columbia,,
2014,02,13,Feb 13,http://localhost:8000/2014/05/16/20140516-142608/IMG_4925.mov,Washington,District of Columbia,,
2014,02,13,Feb 13,http://localhost:8000/2014/05/16/20140516-142608/IMG_4931.MOV,Washington,District of Columbia,,
2014,02,13,Feb 13,http://localhost:8000/2014/05/16/20140516-142608/IMG_4942.MOV,Washington,District of Columbia,,
2014,02,14,Feb 14,http://localhost:8000/2014/04/19/20140419-135255/IMG_4951.MOV,Washington,District of Columbia,,
2014,02,14,Feb 14,http://localhost:8000/2014/05/16/20140516-142608/IMG_4948.MOV,Washington,District of Columbia,,
2014,02,14,Feb 14,http://localhost:8000/2014/05/16/20140516-142608/IMG_4958.MOV,Fortescue,New Jersey,,
2014,02,14,Feb 14,http://localhost:8000/2014/05/16/20140516-142608/IMG_4952.MOV,West Hyattsville,Maryland,,keep
2014,02,14,Feb 14,http://localhost:8000/2014/05/16/20140516-142608/IMG_4960.MOV,Warwick,Maryland,,
2014,02,15,Feb 15,http://localhost:8000/2014/05/16/20140516-142608/IMG_4985.MOV,Windham Mountain,New York,,keep
2014,02,16,Feb 16,http://localhost:8000/2014/04/19/20140419-135255/IMG_5012.MOV,Windham Mountain,New York,,
2014,02,16,Feb 16,http://localhost:8000/2014/04/19/20140419-135255/IMG_5003.MOV,Windham Mountain,New York,,
2014,02,16,Feb 16,http://localhost:8000/2014/05/16/20140516-142608/IMG_4992.MOV,Windham Mountain,New York,,
2014,02,16,Feb 16,http://localhost:8000/2014/05/16/20140516-142608/IMG_4993.MOV,Windham Mountain,New York,,
2014,02,16,Feb 16,http://localhost:8000/2014/05/16/20140516-142608/IMG_4994.MOV,Windham Mountain,New York,,
2014,02,16,Feb 16,http://localhost:8000/2014/05/16/20140516-142608/IMG_4995.MOV,Windham Mountain,New York,,keep
2014,02,16,Feb 16,http://localhost:8000/2014/05/16/20140516-142608/IMG_4996.MOV,Windham Mountain,New York,,
2014,02,16,Feb 16,http://localhost:8000/2014/05/16/20140516-142608/IMG_4997.MOV,Windham Mountain,New York,,
2014,02,16,Feb 16,http://localhost:8000/2014/05/16/20140516-142608/IMG_4998.MOV,Windham Mountain,New York,,
2014,02,16,Feb 16,http://localhost:8000/2014/05/16/20140516-142608/IMG_5002.MOV,Windham Mountain,New York,,
2014,02,16,Feb 16,http://localhost:8000/2014/05/16/20140516-142608/IMG_5005.MOV,Windham Mountain,New York,,
2014,02,16,Feb 16,http://localhost:8000/2014/05/16/20140516-142608/IMG_5006.MOV,Windham Mountain,New York,,
2014,02,16,Feb 16,http://localhost:8000/2014/05/16/20140516-142608/IMG_5004.MOV,Windham Mountain,New York,,
2014,02,16,Feb 16,http://localhost:8000/2014/05/16/20140516-142608/IMG_5007.MOV,Windham Mountain,New York,,
2014,02,17,Feb 17,http://localhost:8000/2014/05/16/20140516-142608/IMG_5007.MOV,Windham Mountain,New York,,keep
2014,02,17,Feb 17,http://localhost:8000/2014/05/16/20140516-142608/IMG_5029.MOV,Washington,District of Columbia,,
2014,02,17,Feb 17,http://localhost:8000/2014/05/16/20140516-142608/IMG_5013.MOV,Windham Mountain,New York,,
2014,02,18,Feb 18,http://localhost:8000/2014/05/16/20140516-142608/IMG_4985.MOV,Windham Mountain,New York,,keep
2014,02,19,Feb 19,http://localhost:8000/2014/05/16/20140516-142608/IMG_5054.MOV,Washington,District of Columbia,,
2014,02,19,Feb 19,http://localhost:8000/2014/05/16/20140516-142608/IMG_5055.MOV,Washington,District of Columbia,,
2014,02,19,Feb 19,http://localhost:8000/2014/05/16/20140516-142608/IMG_5056.MOV,Washington,District of Columbia,,
2014,02,19,Feb 19,http://localhost:8000/2014/05/16/20140516-142608/IMG_5065.MOV,Washington,District of Columbia,,
2014,02,19,Feb 19,http://localhost:8000/2014/05/16/20140516-142608/IMG_5068.MOV,Washington,District of Columbia,Black Joe Lewis and the Honey Bears,keep
2014,02,19,Feb 19,http://localhost:8000/2014/05/16/20140516-142608/IMG_5059.MOV,Washington,District of Columbia,,
2014,02,19,Feb 19,http://localhost:8000/2014/05/16/20140516-142608/IMG_5069.MOV,Washington,District of Columbia,,
2014,02,20,Feb 20,http://localhost:8000/2014/05/16/20140516-142608/IMG_5077.MOV,Washington,District of Columbia,,
2014,02,20,Feb 20,http://localhost:8000/2014/05/16/20140516-142608/IMG_5079.MOV,Washington,District of Columbia,,keep
2014,02,21,Feb 21,http://localhost:8000/2014/05/16/20140516-142608/IMG_5156.mov,Annandale,Virginia,,keep
2014,02,22,Feb 22,http://localhost:8000/2014/05/16/20140516-142608/IMG_5174.MOV,Washington,District of Columbia,,keep
2014,02,23,Feb 23,http://localhost:8000/2014/04/19/20140419-135255/IMG_5149.MOV,Annandale,Virginia,,
2014,02,23,Feb 23,http://localhost:8000/2014/05/16/20140516-142608/IMG_5157.mov,Annandale,Virginia,,
2014,02,23,Feb 23,http://localhost:8000/2014/05/16/20140516-142608/IMG_5158.mov,Annandale,Virginia,,
2014,02,23,Feb 23,http://localhost:8000/2014/05/16/20140516-142608/IMG_5125.MOV,Annandale,Virginia,,keep
2014,02,23,Feb 23,http://localhost:8000/2014/05/16/20140516-142608/IMG_5156.mov,Annandale,Virginia,,
2014,02,23,Feb 23,http://localhost:8000/2014/05/16/20140516-142608/IMG_5126.MOV,Annandale,Virginia,,
2014,02,23,Feb 23,http://localhost:8000/2014/05/16/20140516-142608/IMG_5134.MOV,Annandale,Virginia,,
2014,02,24,Feb 24,http://localhost:8000/2014/05/16/20140516-142608/IMG_5187.mov,Washington,District of Columbia,,keep
2014,02,25,Feb 25,http://localhost:8000/2014/05/16/20140516-142608/IMG_5187.mov,Washington,District of Columbia,,
2014,02,25,Feb 25,http://localhost:8000/2014/05/16/20140516-142608/IMG_5174.MOV,Washington,District of Columbia,,
2014,02,25,Feb 25,http://localhost:8000/2014/05/16/20140516-142608/IMG_5186.MOV,Washington,District of Columbia,,keep
2014,02,26,Feb 26,http://localhost:8000/2014/05/16/20140516-142608/IMG_4914.MOV,Washington,District of Columbia,,keep
2014,02,27,Feb 27,http://localhost:8000/2014/05/16/20140516-142608/IMG_5211.MOV,Washington,District of Columbia,,
2014,02,27,Feb 27,http://localhost:8000/2014/05/16/20140516-142608/IMG_5227.MOV,Washington,District of Columbia,,keep
2014,02,28,Feb 28,http://localhost:8000/2014/05/16/20140516-142608/IMG_5250.mov,Washington,District of Columbia,,
2014,02,28,Feb 28,http://localhost:8000/2014/05/16/20140516-142608/IMG_5227.MOV,Washington,District of Columbia,,
2014,02,28,Feb 28,http://localhost:8000/2014/05/16/20140516-142608/IMG_5239.MOV,Washington,District of Columbia,,
2014,02,28,Feb 28,http://localhost:8000/2014/05/16/20140516-142608/IMG_5252.MOV,Washington,District of Columbia,,keep
