year,month,day,monthday,link,city,state,Concert,Keep
2014,01,01,Jan 1,http://localhost:8000/2014/01/03/20140103-164331/IMG_3546.mov,Washington,District of Columbia,,
2014,01,01,Jan 1,http://localhost:8000/2014/01/03/20140103-164331/IMG_3543.MOV,Washington,District of Columbia,,
2014,01,01,Jan 1,http://localhost:8000/2014/01/03/20140103-164331/IMG_3544.MOV,Washington,District of Columbia,,
2014,01,01,Jan 1,http://localhost:8000/2014/01/03/20140103-164331/IMG_3563.MOV,Washington,District of Columbia,,
2014,01,01,Jan 1,http://localhost:8000/2014/01/03/20140103-164331/IMG_3548.MOV,Washington,District of Columbia,,
2014,01,01,Jan 1,http://localhost:8000/2014/01/03/20140103-164331/IMG_3574.MOV,Washington,District of Columbia,,
2014,01,01,Jan 1,http://localhost:8000/2014/01/03/20140103-164331/IMG_3565.MOV,Washington,District of Columbia,,
2014,01,01,Jan 1,http://localhost:8000/2014/01/03/20140103-164331/IMG_3553.MOV,Washington,District of Columbia,,
2014,01,01,Jan 1,http://localhost:8000/2014/01/03/20140103-164331/IMG_3572.MOV,Washington,District of Columbia,,
2014,01,01,Jan 1,http://localhost:8000/2014/01/03/20140103-164331/IMG_3582.MOV,Washington,District of Columbia,,
2014,01,01,Jan 1,http://localhost:8000/2014/01/03/20140103-164331/IMG_3550.MOV,Washington,District of Columbia,,
2014,01,01,Jan 1,http://localhost:8000/2014/01/03/20140103-164331/IMG_3573.MOV,Washington,District of Columbia,Lunch Money Bandits,keep
2014,01,01,Jan 1,http://localhost:8000/2014/01/03/20140103-164331/IMG_3554.MOV,Washington,District of Columbia,,
2014,01,02,Jan 2,http://localhost:8000/2014/01/03/20140103-164331/IMG_3605.MOV,Washington,District of Columbia,,keep
2014,01,03,Jan 3,http://localhost:8000/2014/01/03/20140103-164331/IMG_3645.MOV,Washington,District of Columbia,,
2014,01,03,Jan 3,http://localhost:8000/2014/01/03/20140103-164331/IMG_3632.MOV,Washington,District of Columbia,,
2014,01,03,Jan 3,http://localhost:8000/2014/01/03/20140103-164331/IMG_3631.MOV,Washington,District of Columbia,,keep
2014,01,03,Jan 3,http://localhost:8000/2014/01/03/20140103-164331/IMG_3630.MOV,Washington,District of Columbia,,
2014,01,03,Jan 3,http://localhost:8000/2014/01/03/20140103-164331/IMG_3633.MOV,Washington,District of Columbia,,
2014,01,03,Jan 3,http://localhost:8000/2014/01/03/20140103-164331/IMG_3635.MOV,Washington,District of Columbia,,
2014,01,04,Jan 4,http://localhost:8000/2014/04/19/20140419-135255/IMG_3693.MOV,Washington,District of Columbia,,keep
