year,month,day,monthday,link,city,state,Concert,Keep
2014,07,01,Jul 1,http://localhost:8000/2014/07/24/20140724-191511/IMG_0026.MOV,Oak Island,North Carolina,,keep
2014,07,01,Jul 1,http://localhost:8000/2014/07/24/20140724-191511/IMG_0025.MOV,Oak Island,North Carolina,,
2014,07,02,Jul 2,http://localhost:8000/2014/07/24/20140724-191511/IMG_0032.MOV,Oak Island,North Carolina,,
2014,07,02,Jul 2,http://localhost:8000/2014/07/24/20140724-191511/IMG_0069.MOV,Oak Island,North Carolina,,keep
2014,07,03,Jul 3,http://localhost:8000/2014/07/24/20140724-191511/IMG_0072.MOV,Oak Island,North Carolina,,keep
2014,07,03,Jul 3,http://localhost:8000/2014/07/24/20140724-191511/IMG_0073.MOV,Oak Island,North Carolina,,
2014,07,03,Jul 3,http://localhost:8000/2014/07/24/20140724-191511/IMG_0071.MOV,Oak Island,North Carolina,,
2014,07,03,Jul 3,http://localhost:8000/2014/07/24/20140724-191511/IMG_0091.MOV,Oak Island,North Carolina,,
2014,07,03,Jul 3,http://localhost:8000/2014/07/24/20140724-191511/IMG_0090.MOV,Oak Island,North Carolina,,
2014,07,03,Jul 3,http://localhost:8000/2014/07/24/20140724-191511/IMG_0092.MOV,Oak Island,North Carolina,,
2014,07,03,Jul 3,http://localhost:8000/2014/07/24/20140724-191511/IMG_0082.MOV,Oak Island,North Carolina,,
2014,07,03,Jul 3,http://localhost:8000/2014/07/24/20140724-191511/IMG_0106.MOV,Oak Island,North Carolina,,
2014,07,03,Jul 3,http://localhost:8000/2014/07/24/20140724-191511/IMG_0100.MOV,Oak Island,North Carolina,,
2014,07,03,Jul 3,http://localhost:8000/2014/07/24/20140724-191511/IMG_0111.MOV,Oak Island,North Carolina,,
2014,07,03,Jul 3,http://localhost:8000/2014/07/24/20140724-191511/IMG_0118.MOV,Oak Island,North Carolina,,
2014,07,03,Jul 3,http://localhost:8000/2014/07/24/20140724-191511/IMG_0117.MOV,Oak Island,North Carolina,,
2014,07,04,Jul 4,http://localhost:8000/2014/07/24/20140724-191511/IMG_0150.mov,Oak Island,North Carolina,,
2014,07,04,Jul 4,http://localhost:8000/2014/07/24/20140724-191511/IMG_0122.MOV,Oak Island,North Carolina,,
2014,07,04,Jul 4,http://localhost:8000/2014/07/24/20140724-191511/IMG_0184.MOV,Oak Island,North Carolina,,keep
2014,07,04,Jul 4,http://localhost:8000/2015/01/08/20150108-100706/IMG_0528.MOV,Oak Island,North Carolina,,
2014,07,04,Jul 4,http://localhost:8000/2015/01/08/20150108-100706/IMG_0533.MOV,Oak Island,North Carolina,,
2014,07,04,Jul 4,http://localhost:8000/2015/01/08/20150108-100706/IMG_0534.MOV,Oak Island,North Carolina,,
2014,07,04,Jul 4,http://localhost:8000/2015/01/08/20150108-100706/IMG_0531.MOV,Oak Island,North Carolina,,
2014,07,04,Jul 4,http://localhost:8000/2015/01/08/20150108-100706/IMG_0547.MOV,Oak Island,North Carolina,,
2014,07,04,Jul 4,http://localhost:8000/2015/01/08/20150108-100706/IMG_0538.MOV,Oak Island,North Carolina,,
2014,07,04,Jul 4,http://localhost:8000/2015/01/08/20150108-100706/IMG_0540.MOV,Oak Island,North Carolina,,
2014,07,04,Jul 4,http://localhost:8000/2015/01/08/20150108-100706/IMG_0537.MOV,Oak Island,North Carolina,,
2014,07,04,Jul 4,http://localhost:8000/2015/01/08/20150108-100706/IMG_0535.MOV,Oak Island,North Carolina,,
2014,07,04,Jul 4,http://localhost:8000/2015/01/08/20150108-100706/IMG_0539.MOV,Oak Island,North Carolina,,
2014,07,04,Jul 4,http://localhost:8000/2015/01/08/20150108-100706/IMG_0549.MOV,Oak Island,North Carolina,,
2014,07,04,Jul 4,http://localhost:8000/2015/01/08/20150108-100706/IMG_0550.MOV,Oak Island,North Carolina,,
2014,07,04,Jul 4,http://localhost:8000/2015/01/08/20150108-100706/IMG_0551.MOV,Oak Island,North Carolina,,
2014,07,04,Jul 4,http://localhost:8000/2015/01/08/20150108-100706/IMG_0554.MOV,Oak Island,North Carolina,,
2014,07,04,Jul 4,http://localhost:8000/2015/01/08/20150108-100706/IMG_0553.MOV,Oak Island,North Carolina,,
2014,07,04,Jul 4,http://localhost:8000/2015/01/08/20150108-100706/IMG_0552.MOV,Oak Island,North Carolina,,
2014,07,05,Jul 5,http://localhost:8000/2014/07/24/20140724-191511/IMG_0196.mov,Oak Island,North Carolina,,
2014,07,05,Jul 5,http://localhost:8000/2014/07/24/20140724-191511/IMG_0197.mov,Oak Island,North Carolina,,
2014,07,05,Jul 5,http://localhost:8000/2014/07/24/20140724-191511/IMG_0198.mov,Oak Island,North Carolina,,
2014,07,05,Jul 5,http://localhost:8000/2014/07/24/20140724-191511/IMG_0117.MOV,Oak Island,North Carolina,,keep
2014,07,05,Jul 5,http://localhost:8000/2014/07/24/20140724-191511/IMG_0199.MOV,Oak Island,North Carolina,,
2014,07,05,Jul 5,http://localhost:8000/2014/07/24/20140724-191511/IMG_0213.MOV,Oak Island,North Carolina,,
2014,07,05,Jul 5,http://localhost:8000/2014/07/24/20140724-191511/IMG_0212.MOV,Oak Island,North Carolina,,
2014,07,05,Jul 5,http://localhost:8000/2014/07/24/20140724-191511/IMG_0211.MOV,Oak Island,North Carolina,,
2014,07,05,Jul 5,http://localhost:8000/2014/07/24/20140724-191511/IMG_0184.MOV,Oak Island,North Carolina,,
2014,07,05,Jul 5,http://localhost:8000/2014/07/24/20140724-191511/IMG_0192.MOV,Oak Island,North Carolina,,
2014,07,06,Jul 6,http://localhost:8000/2015/01/08/20150108-100706/IMG_0537.MOV,Kure Beach,North Carolina,,keep
2014,07,07,Jul 7,http://localhost:8000/2014/07/24/20140724-191511/IMG_0228.MOV,Washington,District of Columbia,,
2014,07,07,Jul 7,http://localhost:8000/2014/07/24/20140724-191511/IMG_0212.MOV,Oak Island,North Carolina,,keep
2014,07,08,Jul 8,http://localhost:8000/2014/07/24/20140724-191511/IMG_0237.MOV,Washington,District of Columbia,,
2014,07,08,Jul 8,http://localhost:8000/2014/07/24/20140724-191511/IMG_0236.MOV,Washington,District of Columbia,,
2014,07,08,Jul 8,http://localhost:8000/2014/07/24/20140724-191511/IMG_0248.MOV,Washington,District of Columbia,,
2014,07,08,Jul 8,http://localhost:8000/2014/07/24/20140724-191511/IMG_0241.MOV,Washington,District of Columbia,,keep
2014,07,08,Jul 8,http://localhost:8000/2014/07/24/20140724-191511/IMG_0243.MOV,Washington,District of Columbia,,
2014,07,08,Jul 8,http://localhost:8000/2014/07/24/20140724-191511/IMG_0244.MOV,Washington,District of Columbia,,
2014,07,08,Jul 8,http://localhost:8000/2014/07/24/20140724-191511/IMG_0242.MOV,Washington,District of Columbia,,
2014,07,09,Jul 9,http://localhost:8000/2014/07/24/20140724-191511/IMG_0280.MOV,Washington,District of Columbia,,
2014,07,09,Jul 9,http://localhost:8000/2014/07/24/20140724-191511/IMG_0282.MOV,Washington,District of Columbia,,
2014,07,09,Jul 9,http://localhost:8000/2014/07/24/20140724-191511/IMG_0281.MOV,Washington,District of Columbia,,
2014,07,09,Jul 9,http://localhost:8000/2014/07/24/20140724-191511/IMG_0283.MOV,Washington,District of Columbia,,keep
2014,07,10,Jul 10,http://localhost:8000/2014/07/24/20140724-191511/IMG_0243.MOV,Washington,District of Columbia,,keep
2014,07,11,Jul 11,http://localhost:8000/2014/07/24/20140724-191511/IMG_0289.MOV,Washington,District of Columbia,,
2014,07,11,Jul 11,http://localhost:8000/2014/07/24/20140724-191511/IMG_0316.MOV,Washington,District of Columbia,,keep
2014,07,11,Jul 11,http://localhost:8000/2014/07/24/20140724-191511/IMG_0318.MOV,Washington,District of Columbia,,
2014,07,12,Jul 12,http://localhost:8000/2014/07/24/20140724-191511/IMG_0353.MOV,Washington,District of Columbia,,keep
2014,07,13,Jul 13,http://localhost:8000/2014/07/24/20140724-191511/IMG_0382.MOV,Washington,District of Columbia,,
2014,07,13,Jul 13,http://localhost:8000/2014/07/24/20140724-191511/IMG_0353.MOV,Washington,District of Columbia,,
2014,07,13,Jul 13,http://localhost:8000/2014/07/24/20140724-191511/IMG_0404.MOV,Washington,District of Columbia,,keep
2014,07,13,Jul 13,http://localhost:8000/2014/07/24/20140724-191511/IMG_0413.MOV,Washington,District of Columbia,,
2014,07,13,Jul 13,http://localhost:8000/2014/07/24/20140724-191511/IMG_0385.MOV,Washington,District of Columbia,,
2014,07,13,Jul 13,http://localhost:8000/2014/07/24/20140724-191511/IMG_0388.MOV,Washington,District of Columbia,,
2014,07,14,Jul 14,http://localhost:8000/2014/07/24/20140724-191511/IMG_0744.MOV,Washington,District of Columbia,,keep
2014,07,15,Jul 15,http://localhost:8000/2014/07/24/20140724-191511/IMG_0436.MOV,Washington,District of Columbia,,keep
2014,07,16,Jul 16,http://localhost:8000/2014/07/24/20140724-191511/IMG_0442.MOV,Washington,District of Columbia,,keep
2014,07,17,Jul 17,http://localhost:8000/2014/07/24/20140724-191511/IMG_0691.MOV,Washington,District of Columbia,,keep
