year,month,day,monthday,link,city,state,Concert,Keep
2014,03,01,Mar 1,http://localhost:8000/2014/04/19/20140419-135255/IMG_5278.MOV,Washington,District of Columbia,,
2014,03,01,Mar 1,http://localhost:8000/2014/04/19/20140419-135255/IMG_5280.MOV,Washington,District of Columbia,,
2014,03,01,Mar 1,http://localhost:8000/2014/05/16/20140516-142608/IMG_5282.mov,Washington,District of Columbia,,
2014,03,01,Mar 1,http://localhost:8000/2014/05/16/20140516-142608/IMG_5277.MOV,Washington,District of Columbia,,
2014,03,01,Mar 1,http://localhost:8000/2014/05/16/20140516-142608/IMG_5279.MOV,Washington,District of Columbia,,keep
2014,03,01,Mar 1,http://localhost:8000/2014/05/16/20140516-142608/IMG_5295.MOV,Washington,District of Columbia,,
2014,03,02,Mar 2,http://localhost:8000/2014/04/19/20140419-135255/IMG_5312.MOV,Philadelphia,Pennsylvania,,
2014,03,02,Mar 2,http://localhost:8000/2014/04/19/20140419-135255/IMG_5318.MOV,Philadelphia,Pennsylvania,,
2014,03,02,Mar 2,http://localhost:8000/2014/04/19/20140419-135255/IMG_5313.MOV,Philadelphia,Pennsylvania,,
2014,03,02,Mar 2,http://localhost:8000/2014/05/16/20140516-142608/IMG_5308.mov,Philadelphia,Pennsylvania,,
2014,03,02,Mar 2,http://localhost:8000/2014/05/16/20140516-142608/IMG_5317.mov,Philadelphia,Pennsylvania,,
2014,03,02,Mar 2,http://localhost:8000/2014/05/16/20140516-142608/IMG_5307.MOV,Philadelphia,Pennsylvania,,
2014,03,02,Mar 2,http://localhost:8000/2014/05/16/20140516-142608/IMG_5309.MOV,Philadelphia,Pennsylvania,,keep
2014,03,02,Mar 2,http://localhost:8000/2014/05/16/20140516-142608/IMG_5335.mov,Philadelphia,Pennsylvania,,
2014,03,02,Mar 2,http://localhost:8000/2014/05/16/20140516-142608/IMG_5319.mov,Philadelphia,Pennsylvania,,
2014,03,02,Mar 2,http://localhost:8000/2014/05/16/20140516-142608/IMG_5315.MOV,Philadelphia,Pennsylvania,,
2014,03,02,Mar 2,http://localhost:8000/2014/05/16/20140516-142608/IMG_5314.MOV,Philadelphia,Pennsylvania,,
2014,03,02,Mar 2,http://localhost:8000/2014/05/16/20140516-142608/IMG_5316.MOV,Philadelphia,Pennsylvania,,
2014,03,02,Mar 2,http://localhost:8000/2014/05/16/20140516-142608/IMG_5347.mov,Philadelphia,Pennsylvania,,
2014,03,02,Mar 2,http://localhost:8000/2014/05/16/20140516-142608/IMG_5311.MOV,Philadelphia,Pennsylvania,,
2014,03,02,Mar 2,http://localhost:8000/2014/05/16/20140516-142608/IMG_5324.MOV,Philadelphia,Pennsylvania,,
2014,03,02,Mar 2,http://localhost:8000/2014/05/16/20140516-142608/IMG_5336.MOV,Philadelphia,Pennsylvania,,
2014,03,02,Mar 2,http://localhost:8000/2014/05/16/20140516-142608/IMG_5323.MOV,Philadelphia,Pennsylvania,,
2014,03,03,Mar 3,http://localhost:8000/2014/05/16/20140516-142608/IMG_5374.MOV,Washington,District of Columbia,,
2014,03,03,Mar 3,http://localhost:8000/2014/05/16/20140516-142608/IMG_5373.MOV,Washington,District of Columbia,,
2014,03,03,Mar 3,http://localhost:8000/2014/05/16/20140516-142608/IMG_5375.MOV,Washington,District of Columbia,,
2014,03,03,Mar 3,http://localhost:8000/2014/05/16/20140516-142608/IMG_5376.MOV,Washington,District of Columbia,,
2014,03,03,Mar 3,http://localhost:8000/2014/05/16/20140516-142608/IMG_5377.MOV,Washington,District of Columbia,,
2014,03,03,Mar 3,http://localhost:8000/2014/05/16/20140516-142608/IMG_5378.MOV,Washington,District of Columbia,,
2014,03,03,Mar 3,http://localhost:8000/2014/05/16/20140516-142608/IMG_5379.MOV,Washington,District of Columbia,,
2014,03,03,Mar 3,http://localhost:8000/2014/05/16/20140516-142608/IMG_5380.MOV,Washington,District of Columbia,,keep
