year,month,day,monthday,link,city,state,Concert,Keep
2014,05,01,May 1,http://localhost:8000/2014/05/16/20140516-142608/IMG_7218.MOV,Washington,District of Columbia,,keep
2014,05,02,May 2,http://localhost:8000/2014/05/16/20140516-142608/IMG_7264.MOV,Washington,District of Columbia,,
2014,05,02,May 2,http://localhost:8000/2014/05/16/20140516-142608/IMG_7255.MOV,Washington,District of Columbia,,keep
2014,05,02,May 2,http://localhost:8000/2014/05/16/20140516-142608/IMG_7256.MOV,Washington,District of Columbia,,
2014,05,03,May 3,http://localhost:8000/2014/05/16/20140516-142608/IMG_7303.mov,Washington,District of Columbia,,
2014,05,03,May 3,http://localhost:8000/2014/05/16/20140516-142608/IMG_7310.MOV,Barrington,Rhode Island,,
2014,05,03,May 3,http://localhost:8000/2014/05/16/20140516-142608/IMG_7307.MOV,Mattituck,New York,,
2014,05,03,May 3,http://localhost:8000/2014/05/16/20140516-142608/IMG_7308.MOV,East Haven,Connecticut,,keep
2014,05,04,May 4,http://localhost:8000/2014/05/16/20140516-142608/IMG_7343.MOV,Rosslyn,Virginia,,
2014,05,04,May 4,http://localhost:8000/2014/05/16/20140516-142608/IMG_7342.MOV,Rosslyn,Virginia,,keep
2014,05,05,May 5,http://localhost:8000/2014/05/16/20140516-142608/IMG_7384.MOV,Washington,District of Columbia,,
2014,05,05,May 5,http://localhost:8000/2014/05/16/20140516-142608/IMG_7385.MOV,Washington,District of Columbia,,
2014,05,05,May 5,http://localhost:8000/2014/05/16/20140516-142608/IMG_7371.MOV,Washington,District of Columbia,,
2014,05,05,May 5,http://localhost:8000/2014/05/16/20140516-142608/IMG_7383.MOV,Washington,District of Columbia,,
2014,05,05,May 5,http://localhost:8000/2014/06/02/20140602-201212/IMG_7398.MOV,Washington,District of Columbia,,keep
2014,05,05,May 5,http://localhost:8000/2014/06/02/20140602-201212/IMG_7475.MOV,Washington,District of Columbia,,
2014,05,05,May 5,http://localhost:8000/2014/06/02/20140602-201212/IMG_7497.MOV,Washington,District of Columbia,,
2014,05,05,May 5,http://localhost:8000/2014/06/02/20140602-201212/IMG_7490.MOV,Washington,District of Columbia,,
2014,05,05,May 5,http://localhost:8000/2014/06/02/20140602-201212/IMG_7489.MOV,Washington,District of Columbia,,
2014,05,05,May 5,http://localhost:8000/2014/06/02/20140602-201212/IMG_7491.MOV,Washington,District of Columbia,,
2014,05,06,May 6,http://localhost:8000/2014/06/02/20140602-201212/IMG_7490.MOV,Washington,District of Columbia,,keep
2014,05,07,May 7,http://localhost:8000/2014/06/02/20140602-201212/IMG_7523.mov,Washington,District of Columbia,,
2014,05,07,May 7,http://localhost:8000/2014/06/02/20140602-201212/IMG_7524.MOV,Washington,District of Columbia,,
2014,05,07,May 7,http://localhost:8000/2014/06/02/20140602-201212/IMG_7512.MOV,Washington,District of Columbia,,keep
2014,05,08,May 8,http://localhost:8000/2014/06/02/20140602-201212/IMG_7543.MOV,Washington,District of Columbia,,
2014,05,08,May 8,http://localhost:8000/2014/06/02/20140602-201212/IMG_7544.MOV,Washington,District of Columbia,,
2014,05,08,May 8,http://localhost:8000/2014/06/02/20140602-201212/IMG_7545.MOV,Washington,District of Columbia,,keep
2014,05,08,May 8,http://localhost:8000/2014/06/02/20140602-201212/IMG_7551.MOV,Washington,District of Columbia,,
2014,05,08,May 8,http://localhost:8000/2014/06/02/20140602-201212/IMG_7553.MOV,Washington,District of Columbia,,
2014,05,08,May 8,http://localhost:8000/2014/06/02/20140602-201212/IMG_7557.MOV,Washington,District of Columbia,,
2014,05,08,May 8,http://localhost:8000/2014/06/02/20140602-201212/IMG_7572.MOV,Washington,District of Columbia,,
2014,05,08,May 8,http://localhost:8000/2014/06/02/20140602-201212/IMG_7585.MOV,Washington,District of Columbia,,
2014,05,08,May 8,http://localhost:8000/2014/06/02/20140602-201212/IMG_7552.MOV,Washington,District of Columbia,,
2014,05,08,May 8,http://localhost:8000/2014/06/02/20140602-201212/IMG_7594.MOV,Washington,District of Columbia,,
2014,05,08,May 8,http://localhost:8000/2014/06/02/20140602-201212/IMG_7584.MOV,Washington,District of Columbia,,
2014,05,08,May 8,http://localhost:8000/2014/06/02/20140602-201212/IMG_7586.MOV,Washington,District of Columbia,,
2014,05,09,May 9,http://localhost:8000/2014/06/02/20140602-201212/IMG_7627.mov,Washington,District of Columbia,,
2014,05,09,May 9,http://localhost:8000/2014/06/02/20140602-201212/IMG_7623.MOV,Washington,District of Columbia,,
2014,05,09,May 9,http://localhost:8000/2014/06/02/20140602-201212/IMG_7621.MOV,Washington,District of Columbia,,
2014,05,09,May 9,http://localhost:8000/2014/06/02/20140602-201212/IMG_7624.MOV,Washington,District of Columbia,,
2014,05,09,May 9,http://localhost:8000/2014/06/02/20140602-201212/IMG_7622.MOV,Washington,District of Columbia,,keep
2014,05,09,May 9,http://localhost:8000/2014/06/02/20140602-201212/IMG_7661.MOV,Washington,District of Columbia,,
2014,05,09,May 9,http://localhost:8000/2014/06/02/20140602-201212/IMG_7660.MOV,Washington,District of Columbia,,
2014,05,10,May 10,http://localhost:8000/2014/06/02/20140602-201212/IMG_7724.MOV,Buxton,North Carolina,,keep
2014,05,11,May 11,http://localhost:8000/2014/06/02/20140602-201212/IMG_7703.MOV,Buxton,North Carolina,,
2014,05,11,May 11,http://localhost:8000/2014/06/02/20140602-201212/IMG_7704.MOV,Buxton,North Carolina,,
2014,05,11,May 11,http://localhost:8000/2014/06/02/20140602-201212/IMG_7701.MOV,Buxton,North Carolina,,
2014,05,11,May 11,http://localhost:8000/2014/06/02/20140602-201212/IMG_7706.MOV,Buxton,North Carolina,,
2014,05,11,May 11,http://localhost:8000/2014/06/02/20140602-201212/IMG_7712.MOV,Buxton,North Carolina,,
2014,05,11,May 11,http://localhost:8000/2014/06/02/20140602-201212/IMG_7723.MOV,Buxton,North Carolina,,
2014,05,11,May 11,http://localhost:8000/2014/06/02/20140602-201212/IMG_7715.MOV,Buxton,North Carolina,,
2014,05,11,May 11,http://localhost:8000/2014/06/02/20140602-201212/IMG_7724.MOV,Buxton,North Carolina,,
2014,05,11,May 11,http://localhost:8000/2014/06/02/20140602-201212/IMG_7873.MOV,New Bern,North Carolina,,
2014,05,11,May 11,http://localhost:8000/2014/06/02/20140602-201212/IMG_7796.MOV,Buxton,North Carolina,,
2014,05,11,May 11,http://localhost:8000/2014/06/02/20140602-201212/IMG_7833.MOV,Buxton,North Carolina,,keep
2014,05,12,May 12,http://localhost:8000/2014/06/02/20140602-201212/IMG_7889.MOV,Washington,District of Columbia,,keep
2014,05,13,May 13,http://localhost:8000/2014/06/02/20140602-201212/IMG_7899.MOV,Washington,District of Columbia,,keep
2014,05,14,May 14,http://localhost:8000/2014/06/02/20140602-201212/IMG_7922.MOV,Washington,District of Columbia,,keep
2014,05,15,May 15,http://localhost:8000/2014/06/02/20140602-201212/IMG_7944.MOV,Annandale,Virginia,,keep
2014,05,16,May 16,http://localhost:8000/2014/06/02/20140602-201212/IMG_7933.mov,Washington,District of Columbia,,
2014,05,16,May 16,http://localhost:8000/2014/06/02/20140602-201212/IMG_7922.MOV,Washington,District of Columbia,,
2014,05,16,May 16,http://localhost:8000/2014/06/02/20140602-201212/IMG_7944.MOV,Annandale,Virginia,,
2014,05,16,May 16,http://localhost:8000/2014/06/02/20140602-201212/IMG_7923.MOV,Washington,District of Columbia,,keep
2014,05,17,May 17,http://localhost:8000/2014/06/02/20140602-201212/IMG_8032.MOV,Washington,District of Columbia,,
2014,05,17,May 17,http://localhost:8000/2014/06/02/20140602-201212/IMG_8020.MOV,Washington,District of Columbia,,keep
2014,05,17,May 17,http://localhost:8000/2014/06/02/20140602-201212/IMG_7957.MOV,Annandale,Virginia,,
2014,05,18,May 18,http://localhost:8000/2014/06/02/20140602-201212/IMG_8055.MOV,Washington,District of Columbia,,keep
2014,05,18,May 18,http://localhost:8000/2014/06/02/20140602-201212/IMG_8060.MOV,Washington,District of Columbia,,
2014,05,18,May 18,http://localhost:8000/2014/06/02/20140602-201212/IMG_8054.MOV,Washington,District of Columbia,,
2014,05,18,May 18,http://localhost:8000/2014/06/02/20140602-201212/IMG_8103.MOV,Washington,District of Columbia,,
2014,05,18,May 18,http://localhost:8000/2014/06/02/20140602-201212/IMG_8053.MOV,Washington,District of Columbia,,
2014,05,19,May 19,http://localhost:8000/2014/06/02/20140602-201212/IMG_8135.MOV,Los Angeles,California,,keep
2014,05,20,May 20,http://localhost:8000/2014/06/02/20140602-201212/IMG_8136.MOV,Los Angeles,California,,keep
2014,05,20,May 20,http://localhost:8000/2014/06/02/20140602-201212/IMG_8165.MOV,Los Angeles,California,,
2014,05,21,May 21,http://localhost:8000/2014/06/02/20140602-201212/IMG_8168.mov,Washington,District of Columbia,,
2014,05,21,May 21,http://localhost:8000/2014/06/02/20140602-201212/IMG_8165.MOV,San Francisco,California,,keep
2014,05,22,May 22,http://localhost:8000/2014/06/02/20140602-201212/IMG_8187.MOV,Los Angeles,California,,keep
2014,05,22,May 22,http://localhost:8000/2014/06/02/20140602-201212/IMG_8200.MOV,Washington,District of Columbia,,
2014,05,23,May 23,http://localhost:8000/2014/06/02/20140602-201212/IMG_8234.MOV,Washington,District of Columbia,,keep
2014,05,24,May 24,http://localhost:8000/2014/06/02/20140602-201212/IMG_8266.mov,Washington,District of Columbia,,keep
2014,05,24,May 24,http://localhost:8000/2014/06/02/20140602-201212/IMG_8263.MOV,Baltimore,Maryland,,
2014,05,25,May 25,http://localhost:8000/2014/06/02/20140602-201212/IMG_8308.MOV,Baltimore,Maryland,,
2014,05,25,May 25,http://localhost:8000/2014/06/02/20140602-201212/IMG_8309.MOV,Baltimore,Maryland,,
2014,05,25,May 25,http://localhost:8000/2014/06/02/20140602-201212/IMG_8328.mov,Baltimore,Maryland,,
2014,05,25,May 25,http://localhost:8000/2014/06/02/20140602-201212/IMG_8312.MOV,Baltimore,Maryland,,
2014,05,25,May 25,http://localhost:8000/2014/06/02/20140602-201212/IMG_8322.MOV,Baltimore,Maryland,,
2014,05,25,May 25,http://localhost:8000/2014/06/02/20140602-201212/IMG_8321.MOV,Baltimore,Maryland,,
2014,05,25,May 25,http://localhost:8000/2014/06/02/20140602-201212/IMG_8323.MOV,Baltimore,Maryland,,keep
2014,05,26,May 26,http://localhost:8000/2014/06/02/20140602-201212/IMG_7899.MOV,Washington,District of Columbia,,keep
2014,05,27,May 27,http://localhost:8000/2014/06/02/20140602-201212/IMG_8345.MOV,Washington,District of Columbia,,
2014,05,27,May 27,http://localhost:8000/2014/06/02/20140602-201212/IMG_8346.MOV,Washington,District of Columbia,,keep
2014,05,28,May 28,http://localhost:8000/2014/06/02/20140602-201212/IMG_8361.MOV,Washington,District of Columbia,,keep
2014,05,29,May 29,http://localhost:8000/2014/06/02/20140602-201212/IMG_8437.MOV,Washington,District of Columbia,,
2014,05,29,May 29,http://localhost:8000/2014/06/02/20140602-201212/IMG_8461.MOV,Seattle,Washington,,keep
2014,05,29,May 29,http://localhost:8000/2014/06/02/20140602-201212/IMG_8476.MOV,Seattle,Washington,,
2014,05,30,May 30,http://localhost:8000/2014/06/02/20140602-201212/IMG_8504.MOV,Seattle,Washington,,keep
