year,month,day,monthday,link,city,state,Concert,Keep
2014,11,01,Nov 1,http://localhost:8000/2014/12/02/20141202-150500/IMG_3725.MOV,New York,New York,,
2014,11,01,Nov 1,http://localhost:8000/2014/12/02/20141202-150500/IMG_3730.MOV,New York,New York,,
2014,11,01,Nov 1,http://localhost:8000/2014/12/02/20141202-150500/IMG_3741.mov,New York,New York,,
2014,11,01,Nov 1,http://localhost:8000/2014/12/02/20141202-150500/IMG_3726.MOV,New York,New York,,keep
2014,11,01,Nov 1,http://localhost:8000/2014/12/02/20141202-150500/IMG_3735.MOV,New York,New York,,
2014,11,02,Nov 2,http://localhost:8000/2014/12/02/20141202-150500/IMG_3759.MOV,New York,New York,,keep
2014,11,02,Nov 2,http://localhost:8000/2014/12/02/20141202-150500/IMG_3768.MOV,New York,New York,,
2014,11,03,Nov 3,http://localhost:8000/2014/12/02/20141202-150500/IMG_3786.MOV,New York,New York,,
2014,11,03,Nov 3,http://localhost:8000/2014/12/02/20141202-150500/IMG_3789.MOV,New York,New York,,
2014,11,03,Nov 3,http://localhost:8000/2014/12/02/20141202-150500/IMG_3787.MOV,New York,New York,,keep
2014,11,04,Nov 4,http://localhost:8000/2014/12/02/20141202-150500/IMG_3806.MOV,Washington,District of Columbia,,keep
2014,11,04,Nov 4,http://localhost:8000/2014/12/02/20141202-150500/IMG_3807.MOV,Washington,District of Columbia,,
2014,11,05,Nov 5,http://localhost:8000/2014/12/02/20141202-150500/IMG_3840.MOV,Washington,District of Columbia,,
2014,11,05,Nov 5,http://localhost:8000/2014/12/02/20141202-150500/IMG_3841.MOV,Washington,District of Columbia,,keep
2014,11,06,Nov 6,http://localhost:8000/2014/12/02/20141202-150500/IMG_3973.MOV,Washington,District of Columbia,,keep
2014,11,07,Nov 7,http://localhost:8000/2014/12/02/20141202-150500/IMG_3887.MOV,Washington,District of Columbia,,keep
2014,11,07,Nov 7,http://localhost:8000/2014/12/02/20141202-150500/IMG_3888.MOV,Washington,District of Columbia,,
2014,11,08,Nov 8,http://localhost:8000/2014/12/02/20141202-150500/IMG_3900.MOV,Washington,District of Columbia,,
2014,11,08,Nov 8,http://localhost:8000/2014/12/02/20141202-150500/IMG_3899.MOV,Washington,District of Columbia,,keep
2014,11,09,Nov 9,http://localhost:8000/2014/12/02/20141202-150500/IMG_3961.MOV,Washington,District of Columbia,,
2014,11,09,Nov 9,http://localhost:8000/2014/12/02/20141202-150500/IMG_3949.MOV,Washington,District of Columbia,,keep
2014,11,09,Nov 9,http://localhost:8000/2014/12/02/20141202-150500/IMG_3960.MOV,Washington,District of Columbia,,
2014,11,09,Nov 9,http://localhost:8000/2014/12/02/20141202-150500/IMG_3970.MOV,Washington,District of Columbia,,
2014,11,09,Nov 9,http://localhost:8000/2014/12/02/20141202-150500/IMG_3973.MOV,Washington,District of Columbia,,
2014,11,09,Nov 9,http://localhost:8000/2014/12/02/20141202-150500/IMG_3974.MOV,Washington,District of Columbia,,
2014,11,09,Nov 9,http://localhost:8000/2014/12/02/20141202-150500/IMG_3975.MOV,Washington,District of Columbia,,
2014,11,10,Nov 10,http://localhost:8000/2014/12/02/20141202-150500/IMG_3993.MOV,Washington,District of Columbia,Mansions on the Moon,
2014,11,10,Nov 10,http://localhost:8000/2014/12/02/20141202-150500/IMG_3987.MOV,Washington,District of Columbia,Mansions on the Moon,keep
2014,11,10,Nov 10,http://localhost:8000/2014/12/02/20141202-150500/IMG_3994.MOV,Washington,District of Columbia,Mansions on the Moon,
2014,11,11,Nov 11,http://localhost:8000/2014/12/02/20141202-150500/IMG_4010.MOV,Washington,District of Columbia,,
2014,11,11,Nov 11,http://localhost:8000/2014/12/02/20141202-150500/IMG_4014.MOV,Washington,District of Columbia,,
2014,11,11,Nov 11,http://localhost:8000/2014/12/02/20141202-150500/IMG_4013.MOV,Washington,District of Columbia,,keep
2014,11,11,Nov 11,http://localhost:8000/2014/12/02/20141202-150500/IMG_4015.MOV,Washington,District of Columbia,,
2014,11,12,Nov 12,http://localhost:8000/2014/12/02/20141202-150500/IMG_4021.MOV,Washington,District of Columbia,,
2014,11,12,Nov 12,http://localhost:8000/2014/12/02/20141202-150500/IMG_4022.MOV,Washington,District of Columbia,,keep
2014,11,13,Nov 13,http://localhost:8000/2014/12/02/20141202-150500/IMG_4032.MOV,Washington,District of Columbia,Lake Street Dive,
2014,11,13,Nov 13,http://localhost:8000/2014/12/02/20141202-150500/IMG_4033.MOV,Washington,District of Columbia,Lake Street Dive,
2014,11,13,Nov 13,http://localhost:8000/2014/12/02/20141202-150500/IMG_4036.MOV,Washington,District of Columbia,Lake Street Dive,keep
2014,11,14,Nov 14,http://localhost:8000/2014/12/02/20141202-150500/IMG_4060.MOV,Washington,District of Columbia,,keep
2014,11,14,Nov 14,http://localhost:8000/2014/12/02/20141202-150500/IMG_4063.MOV,Washington,District of Columbia,,
2014,11,15,Nov 15,http://localhost:8000/2014/12/02/20141202-150500/IMG_4065.MOV,Washington,District of Columbia,,
2014,11,15,Nov 15,http://localhost:8000/2014/12/02/20141202-150500/IMG_4084.MOV,Washington,District of Columbia,,keep
2014,11,15,Nov 15,http://localhost:8000/2014/12/02/20141202-150500/IMG_4083.MOV,Washington,District of Columbia,,
2014,11,16,Nov 16,http://localhost:8000/2014/12/02/20141202-150500/IMG_4096.MOV,Landover,Maryland,,
2014,11,16,Nov 16,http://localhost:8000/2014/12/02/20141202-150500/IMG_4103.MOV,Landover,Maryland,,keep
2014,11,16,Nov 16,http://localhost:8000/2014/12/02/20141202-150500/IMG_4104.MOV,Landover,Maryland,,
2014,11,17,Nov 17,http://localhost:8000/2014/12/02/20141202-150500/IMG_4136.MOV,Washington,District of Columbia,,keep
2014,11,18,Nov 18,http://localhost:8000/2014/12/02/20141202-150500/IMG_4136.MOV,Washington,District of Columbia,,
2014,11,18,Nov 18,http://localhost:8000/2014/12/02/20141202-150500/IMG_4179.MOV,Washington,District of Columbia,,
2014,11,18,Nov 18,http://localhost:8000/2014/12/02/20141202-150500/IMG_4210.MOV,Omaha,Nebraska,,keep
2014,11,19,Nov 19,http://localhost:8000/2014/12/02/20141202-150500/IMG_4230.MOV,Omaha,Nebraska,,keep
2014,11,20,Nov 20,http://localhost:8000/2014/12/02/20141202-150500/IMG_4257.MOV,Winterset,Iowa,,keep
