year,month,day,monthday,link,city,state,Concert,Keep
2014,10,01,Oct 1,http://localhost:8000/2014/12/02/20141202-150500/IMG_3036.MOV,Mountain View,California,,keep
2014,10,01,Oct 1,http://localhost:8000/2014/12/02/20141202-150500/IMG_3038.MOV,Mountain View,California,,
2014,10,02,Oct 2,http://localhost:8000/2014/12/02/20141202-150500/IMG_3040.MOV,Mountain View,California,,
2014,10,02,Oct 2,http://localhost:8000/2014/12/02/20141202-150500/IMG_3056.MOV,Mountain View,California,,keep
2014,10,03,Oct 3,http://localhost:8000/2014/12/02/20141202-150500/IMG_3078.MOV,Baltimore,Maryland,,keep
2014,10,03,Oct 3,http://localhost:8000/2014/12/02/20141202-150500/IMG_3084.MOV,Baltimore,Maryland,,
2014,10,03,Oct 3,http://localhost:8000/2014/12/02/20141202-150500/IMG_3096.MOV,Baltimore,Maryland,,
2014,10,03,Oct 3,http://localhost:8000/2014/12/02/20141202-150500/IMG_3097.MOV,Baltimore,Maryland,,
2014,10,04,Oct 4,http://localhost:8000/2014/12/02/20141202-150500/IMG_3104.MOV,Washington,District of Columbia,,keep
2014,10,05,Oct 5,http://localhost:8000/2014/12/02/20141202-150500/IMG_3145.MOV,Washington,District of Columbia,,keep
2014,10,06,Oct 6,http://localhost:8000/2014/12/02/20141202-150500/IMG_3150.MOV,Washington,District of Columbia,,keep
2014,10,07,Oct 7,http://localhost:8000/2014/12/02/20141202-150500/IMG_3159.MOV,Washington,District of Columbia,,keep
2014,10,08,Oct 8,http://localhost:8000/2014/12/02/20141202-150500/IMG_3163.MOV,Washington,District of Columbia,,keep
2014,10,08,Oct 8,http://localhost:8000/2014/12/02/20141202-150500/IMG_3164.MOV,Washington,District of Columbia,,
2014,10,09,Oct 9,http://localhost:8000/2014/12/02/20141202-150500/IMG_3207.MOV,Washington,District of Columbia,,
2014,10,09,Oct 9,http://localhost:8000/2014/12/02/20141202-150500/IMG_3209.MOV,Washington,District of Columbia,,keep
2014,10,09,Oct 9,http://localhost:8000/2014/12/02/20141202-150500/IMG_3208.MOV,Washington,District of Columbia,,
2014,10,10,Oct 10,http://localhost:8000/2014/12/02/20141202-150500/IMG_3218.mov,Washington,District of Columbia,,
2014,10,10,Oct 10,http://localhost:8000/2014/12/02/20141202-150500/IMG_3219.mov,Washington,District of Columbia,,
2014,10,10,Oct 10,http://localhost:8000/2014/12/02/20141202-150500/IMG_3220.mov,Washington,District of Columbia,,
2014,10,10,Oct 10,http://localhost:8000/2014/12/02/20141202-150500/IMG_3211.MOV,Washington,District of Columbia,,
2014,10,10,Oct 10,http://localhost:8000/2014/12/02/20141202-150500/IMG_3222.mov,Washington,District of Columbia,,
2014,10,10,Oct 10,http://localhost:8000/2014/12/02/20141202-150500/IMG_3221.mov,Washington,District of Columbia,,
2014,10,10,Oct 10,http://localhost:8000/2014/12/02/20141202-150500/IMG_3223.mov,Washington,District of Columbia,,
2014,10,10,Oct 10,http://localhost:8000/2014/12/02/20141202-150500/IMG_3224.mov,Washington,District of Columbia,,
2014,10,10,Oct 10,http://localhost:8000/2014/12/02/20141202-150500/IMG_3225.mov,Washington,District of Columbia,,
2014,10,10,Oct 10,http://localhost:8000/2014/12/02/20141202-150500/IMG_3226.mov,Washington,District of Columbia,,
2014,10,10,Oct 10,http://localhost:8000/2014/12/02/20141202-150500/IMG_3227.mov,Washington,District of Columbia,,
2014,10,10,Oct 10,http://localhost:8000/2014/12/02/20141202-150500/IMG_3240.MOV,Washington,District of Columbia,,
2014,10,10,Oct 10,http://localhost:8000/2014/12/02/20141202-150500/IMG_3228.MOV,Washington,District of Columbia,,keep
2014,10,10,Oct 10,http://localhost:8000/2014/12/02/20141202-150500/IMG_3241.MOV,Washington,District of Columbia,,
2014,10,11,Oct 11,http://localhost:8000/2014/12/02/20141202-150500/IMG_3254.mov,Washington,District of Columbia,,
2014,10,11,Oct 11,http://localhost:8000/2014/12/02/20141202-150500/IMG_3252.MOV,Cambridge,Massachusetts,,keep
2014,10,11,Oct 11,http://localhost:8000/2014/12/02/20141202-150500/IMG_3246.MOV,Cambridge,Massachusetts,,
2014,10,11,Oct 11,http://localhost:8000/2014/12/02/20141202-150500/IMG_3253.MOV,Cambridge,Massachusetts,,
