year,month,day,monthday,link,city,state,Concert,Keep
2014,09,01,Sep 1,http://localhost:8000/2014/09/19/20140919-101128/IMG_2096.MOV,Manhasset,New York,,
2014,09,01,Sep 1,http://localhost:8000/2014/09/19/20140919-101128/IMG_2120.MOV,Manhasset,New York,,
2014,09,01,Sep 1,http://localhost:8000/2014/09/19/20140919-101128/IMG_2121.MOV,Manhasset,New York,,
2014,09,01,Sep 1,http://localhost:8000/2014/09/19/20140919-101128/IMG_2107.MOV,Manhasset,New York,,
2014,09,01,Sep 1,http://localhost:8000/2014/09/19/20140919-101128/IMG_2127.MOV,Manhasset,New York,,
2014,09,01,Sep 1,http://localhost:8000/2014/09/19/20140919-101128/IMG_2097.MOV,Manhasset,New York,,
2014,09,01,Sep 1,http://localhost:8000/2014/09/19/20140919-101128/IMG_2106.MOV,Manhasset,New York,,keep
2014,09,01,Sep 1,http://localhost:8000/2014/09/19/20140919-101128/IMG_2108.MOV,Manhasset,New York,,
2014,09,02,Sep 2,http://localhost:8000/2014/09/19/20140919-101128/IMG_2145.mov,Washington,District of Columbia,,
2014,09,02,Sep 2,http://localhost:8000/2014/09/19/20140919-101128/IMG_2143.mov,Washington,District of Columbia,,
2014,09,02,Sep 2,http://localhost:8000/2014/09/19/20140919-101128/IMG_2147.mov,Washington,District of Columbia,,
2014,09,02,Sep 2,http://localhost:8000/2014/09/19/20140919-101128/IMG_2163.MOV,Washington,District of Columbia,,keep
2014,09,02,Sep 2,http://localhost:8000/2014/09/19/20140919-101128/IMG_2164.MOV,Washington,District of Columbia,,
2014,09,03,Sep 3,http://localhost:8000/2014/09/19/20140919-101128/IMG_2169.MOV,Washington,District of Columbia,,keep
2014,09,04,Sep 4,http://localhost:8000/2014/09/19/20140919-101128/IMG_2191.MOV,Washington,District of Columbia,,keep
2014,09,05,Sep 5,http://localhost:8000/2014/09/19/20140919-101128/IMG_2189.MOV,Washington,District of Columbia,,
2014,09,05,Sep 5,http://localhost:8000/2014/09/19/20140919-101128/IMG_2190.MOV,Washington,District of Columbia,,
2014,09,05,Sep 5,http://localhost:8000/2014/09/19/20140919-101128/IMG_2191.MOV,Washington,District of Columbia,,
2014,09,05,Sep 5,http://localhost:8000/2014/09/19/20140919-101128/IMG_2202.MOV,Washington,District of Columbia,,
2014,09,05,Sep 5,http://localhost:8000/2014/09/19/20140919-101128/IMG_2199.MOV,Washington,District of Columbia,,
2014,09,05,Sep 5,http://localhost:8000/2014/09/19/20140919-101128/IMG_2204.MOV,Washington,District of Columbia,,
2014,09,05,Sep 5,http://localhost:8000/2014/09/19/20140919-101128/IMG_2206.MOV,Washington,District of Columbia,,
2014,09,05,Sep 5,http://localhost:8000/2014/09/19/20140919-101128/IMG_2212.MOV,Washington,District of Columbia,,
2014,09,05,Sep 5,http://localhost:8000/2014/09/19/20140919-101128/IMG_2210.MOV,Washington,District of Columbia,,
2014,09,05,Sep 5,http://localhost:8000/2014/09/19/20140919-101128/IMG_2231.MOV,Washington,District of Columbia,,
2014,09,05,Sep 5,http://localhost:8000/2014/09/19/20140919-101128/IMG_2235.MOV,Washington,District of Columbia,,
2014,09,05,Sep 5,http://localhost:8000/2014/09/19/20140919-101128/IMG_2237.MOV,Washington,District of Columbia,,
2014,09,05,Sep 5,http://localhost:8000/2014/09/19/20140919-101128/IMG_2256.MOV,Washington,District of Columbia,,
2014,09,05,Sep 5,http://localhost:8000/2014/09/19/20140919-101128/IMG_2240.MOV,Washington,District of Columbia,,
