year	month	day	monthday	link	city	state	Concert	Keep	day
2014	1	1	Jan 1	=HYPERLINK("http://localhost:8000/2014/01/03/20140103-164331/IMG_3573.MOV")	Washington	District of Columbia	Lunch Money Bandits	keep	1
2014	1	2	Jan 2	=HYPERLINK("http://localhost:8000/2014/01/03/20140103-164331/IMG_3605.MOV")	Washington	District of Columbia		keep	2
2014	1	3	Jan 3	=HYPERLINK("http://localhost:8000/2014/01/03/20140103-164331/IMG_3631.MOV")	Washington	District of Columbia		keep	3
2014	1	4	Jan 4	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_3693.MOV")	Washington	District of Columbia		keep	4
2014	1	5	Jan 5	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_3721.MOV")	Washington	District of Columbia		keep	5
2014	1	6	Jan 6	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_3730.MOV")	Washington	District of Columbia		keep	6
2014	1	7	Jan 7	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_3819.MOV")	Washington	District of Columbia		keep	7
2014	1	8	Jan 8	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_3820.MOV")	Washington	District of Columbia		keep	8
2014	1	9	Jan 9	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_3851.MOV")	Washington	District of Columbia		keep	9
2014	1	10	Jan 10	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_3853.MOV")	Washington	District of Columbia		keep	10
2014	1	11	Jan 11	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_4201.MOV")	Washington	District of Columbia		keep	11
2014	1	12	Jan 12	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_4228.MOV")	Washington	District of Columbia		keep	12
2014	1	13	Jan 13	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_4265.MOV")	Washington	District of Columbia		keep	13
2014	1	14	Jan 14	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_4271.MOV")	Washington	District of Columbia		keep	14
2014	1	15	Jan 15	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_4292.MOV")	Washington	District of Columbia		keep	15
2014	1	16	Jan 16	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_4299.MOV")	Washington	District of Columbia		keep	16
2014	1	1	Jan 17	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_4344.MOV")	Annandale	Virginia		keep	1
2014	1	1	Jan 18	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_4390.MOV")	Jersey Shore	Pennsylvania		keep	1
2014	1	2	Jan 19	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_4389.MOV")	Jersey Shore	Pennsylvania		keep	2
