year	month	day	monthday	link	city	state
2014	01	01	Jan 1	=HYPERLINK("http://localhost:8000/2014/01/03/20140103-164331/IMG_3546.mov")	Washington	District of Columbia
2014	01	01	Jan 1	=HYPERLINK("http://localhost:8000/2014/01/03/20140103-164331/IMG_3543.MOV")	Washington	District of Columbia
2014	01	01	Jan 1	=HYPERLINK("http://localhost:8000/2014/01/03/20140103-164331/IMG_3544.MOV")	Washington	District of Columbia
2014	01	01	Jan 1	=HYPERLINK("http://localhost:8000/2014/01/03/20140103-164331/IMG_3563.MOV")	Washington	District of Columbia
2014	01	01	Jan 1	=HYPERLINK("http://localhost:8000/2014/01/03/20140103-164331/IMG_3548.MOV")	Washington	District of Columbia
2014	01	01	Jan 1	=HYPERLINK("http://localhost:8000/2014/01/03/20140103-164331/IMG_3574.MOV")	Washington	District of Columbia
2014	01	01	Jan 1	=HYPERLINK("http://localhost:8000/2014/01/03/20140103-164331/IMG_3565.MOV")	Washington	District of Columbia
2014	01	01	Jan 1	=HYPERLINK("http://localhost:8000/2014/01/03/20140103-164331/IMG_3553.MOV")	Washington	District of Columbia
2014	01	02	Jan 2	=HYPERLINK("http://localhost:8000/2014/01/03/20140103-164331/IMG_3605.MOV")	Washington	District of Columbia
2014	01	01	Jan 1	=HYPERLINK("http://localhost:8000/2014/01/03/20140103-164331/IMG_3572.MOV")	Washington	District of Columbia
2014	01	01	Jan 1	=HYPERLINK("http://localhost:8000/2014/01/03/20140103-164331/IMG_3582.MOV")	Washington	District of Columbia
2014	01	01	Jan 1	=HYPERLINK("http://localhost:8000/2014/01/03/20140103-164331/IMG_3550.MOV")	Washington	District of Columbia
2014	01	03	Jan 3	=HYPERLINK("http://localhost:8000/2014/01/03/20140103-164331/IMG_3645.MOV")	Washington	District of Columbia
2014	01	03	Jan 3	=HYPERLINK("http://localhost:8000/2014/01/03/20140103-164331/IMG_3632.MOV")	Washington	District of Columbia
2014	01	03	Jan 3	=HYPERLINK("http://localhost:8000/2014/01/03/20140103-164331/IMG_3631.MOV")	Washington	District of Columbia
2014	01	03	Jan 3	=HYPERLINK("http://localhost:8000/2014/01/03/20140103-164331/IMG_3630.MOV")	Washington	District of Columbia
2014	01	03	Jan 3	=HYPERLINK("http://localhost:8000/2014/01/03/20140103-164331/IMG_3633.MOV")	Washington	District of Columbia
2014	01	04	Jan 4	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_3693.MOV")	Washington	District of Columbia
2014	01	10	Jan 10	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_3873.MOV")	Washington	District of Columbia
2014	01	01	Jan 1	=HYPERLINK("http://localhost:8000/2014/01/03/20140103-164331/IMG_3573.MOV")	Washington	District of Columbia
2014	01	18	Jan 18	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_4377.MOV")	Washington	District of Columbia
2014	01	05	Jan 5	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_3701.MOV")	Washington	District of Columbia
2014	01	03	Jan 3	=HYPERLINK("http://localhost:8000/2014/01/03/20140103-164331/IMG_3635.MOV")	Washington	District of Columbia
2014	01	05	Jan 5	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_3698.MOV")	Washington	District of Columbia
2014	01	18	Jan 18	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_4378.MOV")	Washington	District of Columbia
2014	01	01	Jan 1	=HYPERLINK("http://localhost:8000/2014/01/03/20140103-164331/IMG_3554.MOV")	Washington	District of Columbia
2014	01	25	Jan 25	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_4535.MOV")	Washington	District of Columbia
2014	01	22	Jan 22	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_4453.MOV")	Washington	District of Columbia
2014	01	26	Jan 26	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_4584.MOV")	Washington	District of Columbia
2014	01	25	Jan 25	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_4534.MOV")	Washington	District of Columbia
2014	02	01	Feb 1	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_4683.MOV")	Washington	District of Columbia
2014	01	26	Jan 26	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_4564.MOV")	Washington	District of Columbia
2014	02	08	Feb 8	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_4807.MOV")	Washington	District of Columbia
2014	02	10	Feb 10	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_4869.MOV")	Washington	District of Columbia
2014	02	02	Feb 2	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_4709.MOV")	Washington	District of Columbia
2014	02	13	Feb 13	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_4934.MOV")	Washington	District of Columbia
2014	02	13	Feb 13	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_4916.MOV")	Washington	District of Columbia
2014	02	13	Feb 13	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_4915.MOV")	Washington	District of Columbia
2014	02	16	Feb 16	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_5012.MOV")	Athens	New York
2014	02	13	Feb 13	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_4943.MOV")	Washington	District of Columbia
2014	02	14	Feb 14	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_4951.MOV")	Washington	District of Columbia
2014	02	13	Feb 13	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_4932.MOV")	Washington	District of Columbia
2014	03	02	Mar 2	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_5312.MOV")	Lumberton	New Jersey
2014	03	01	Mar 1	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_5278.MOV")	Cape May Point	New Jersey
2014	03	01	Mar 1	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_5280.MOV")	Cape May Point	New Jersey
2014	02	23	Feb 23	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_5149.MOV")	Upper Marlboro	Maryland
2014	03	02	Mar 2	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_5318.MOV")	Lumberton	New Jersey
2014	02	16	Feb 16	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_5003.MOV")	Athens	New York
2014	03	06	Mar 6	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_5465.MOV")	Washington	District of Columbia
2014	03	09	Mar 9	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_5545.MOV")	Duxbury	Massachusetts
2014	03	13	Mar 13	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_5603.MOV")	Washington	District of Columbia
2014	03	13	Mar 13	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_5601.MOV")	Washington	District of Columbia
2014	03	08	Mar 8	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_5536.MOV")	Winthrop	Massachusetts
2014	03	02	Mar 2	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_5313.MOV")	Lumberton	New Jersey
2014	03	13	Mar 13	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_5604.MOV")	Washington	District of Columbia
